iter	Passed	Remaining
0	7	7330
1	12	6386
2	19	6551
3	26	6708
4	33	6762
5	39	6503
6	46	6532
7	51	6349
8	56	6213
9	61	6122
10	67	6036
11	72	5990
12	78	5922
13	83	5859
14	88	5804
15	93	5758
16	99	5738
17	104	5701
18	109	5657
19	115	5659
20	120	5635
21	126	5632
22	132	5613
23	137	5591
24	143	5578
25	148	5555
26	153	5532
27	159	5523
28	164	5505
29	169	5485
30	174	5468
31	180	5455
32	185	5438
33	190	5423
34	196	5414
35	202	5428
36	208	5420
37	214	5441
38	220	5428
39	225	5423
40	231	5412
41	236	5401
42	242	5391
43	247	5375
44	252	5364
45	258	5350
46	263	5337
47	268	5328
48	274	5321
49	280	5326
50	285	5315
51	291	5306
52	296	5295
53	301	5287
54	307	5277
55	312	5265
56	317	5253
57	322	5243
58	328	5232
59	333	5221
60	339	5222
61	344	5213
62	350	5214
63	357	5229
64	363	5222
65	368	5213
66	373	5203
67	378	5193
68	384	5185
69	389	5179
70	395	5169
71	400	5162
72	405	5153
73	411	5144
74	416	5134
75	421	5127
76	426	5116
77	432	5109
78	438	5107
79	443	5098
80	448	5091
81	454	5084
82	459	5072
83	464	5064
84	470	5060
85	475	5050
86	480	5042
87	485	5032
88	490	5025
89	496	5018
90	501	5010
91	506	5000
92	512	5000
93	518	4994
94	523	4987
95	529	4981
96	534	4974
97	539	4966
98	544	4958
99	551	4965
100	559	4982
101	566	4984
102	572	4986
103	578	4984
104	585	4989
105	591	4992
106	597	4985
107	602	4976
108	607	4969
109	613	4964
110	618	4957
111	624	4949
112	629	4942
113	634	4933
114	640	4927
115	645	4918
116	650	4911
117	656	4904
118	661	4899
119	667	4898
120	673	4890
121	678	4884
122	684	4877
123	689	4868
124	694	4862
125	699	4853
126	705	4846
127	710	4839
128	715	4831
129	720	4823
130	726	4817
131	731	4810
132	736	4802
133	741	4795
134	748	4794
135	753	4788
136	759	4784
137	764	4776
138	770	4770
139	775	4765
140	781	4759
141	786	4751
142	791	4744
143	796	4736
144	801	4728
145	807	4721
146	812	4715
147	817	4708
148	824	4707
149	829	4698
150	834	4692
151	840	4687
152	845	4679
153	850	4671
154	855	4666
155	861	4660
156	866	4654
157	872	4647
158	877	4640
159	882	4633
160	888	4628
161	893	4622
162	899	4618
163	905	4613
164	910	4606
165	916	4606
166	922	4601
167	928	4596
168	937	4608
169	955	4665
170	962	4665
171	969	4665
172	977	4671
173	983	4667
174	990	4667
175	996	4667
176	1003	4667
177	1011	4672
178	1017	4668
179	1023	4662
180	1028	4655
181	1034	4649
182	1039	4642
183	1045	4635
184	1051	4633
185	1057	4626
186	1062	4619
187	1068	4613
188	1073	4606
189	1078	4599
190	1084	4592
191	1090	4588
192	1095	4581
193	1101	4574
194	1106	4568
195	1111	4560
196	1117	4553
197	1122	4547
198	1131	4552
199	1136	4547
200	1142	4539
201	1147	4533
202	1153	4527
203	1158	4520
204	1164	4514
205	1169	4508
206	1174	4500
207	1180	4493
208	1185	4486
209	1190	4478
210	1195	4471
211	1201	4464
212	1207	4460
213	1212	4453
214	1217	4446
215	1223	4439
216	1228	4432
217	1233	4426
218	1239	4419
219	1244	4412
220	1250	4406
221	1255	4400
222	1262	4398
223	1267	4391
224	1273	4384
225	1278	4378
226	1284	4374
227	1289	4367
228	1295	4361
229	1301	4356
230	1306	4349
231	1311	4342
232	1317	4336
233	1322	4329
234	1328	4323
235	1333	4317
236	1338	4310
237	1344	4304
238	1349	4296
239	1354	4289
240	1361	4286
241	1366	4279
242	1371	4272
243	1377	4266
244	1382	4260
245	1388	4254
246	1393	4248
247	1400	4245
248	1406	4242
249	1413	4239
250	1419	4236
251	1426	4234
252	1434	4235
253	1441	4233
254	1466	4284
255	1480	4302
256	1492	4315
257	1499	4313
258	1505	4306
259	1511	4301
260	1516	4293
261	1522	4287
262	1527	4280
263	1532	4273
264	1541	4274
265	1548	4271
266	1554	4267
267	1560	4262
268	1566	4257
269	1573	4254
270	1578	4247
271	1585	4242
272	1590	4236
273	1596	4228
274	1601	4221
275	1606	4214
276	1611	4207
277	1617	4199
278	1622	4193
279	1627	4185
280	1633	4178
281	1638	4171
282	1643	4164
283	1649	4157
284	1654	4150
285	1659	4144
