host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,room_type,accommodates,bedrooms,beds,price,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_cleanliness,review_scores_location,review_scores_value,instant_bookable,description_host,description_neighbourhood,neighbourhood_cleansed_grouped,host_since_years,first_review_years,last_review_years,bathrooms_count,amenity_kitchen,amenity_hot_water,amenity_cooking_basics,amenity_long_term_stays_allowed,amenity_iron,amenity_workspace,amenity_bed_linens,amenity_hangers,amenity_refrigerator,amenity_air_conditioning,amenity_dishes_and_silverware,amenity_shampoo,amenity_tv,amenity_coffee_maker,amenity_washer,amenity_stove,name_cleaned_length,description_cleaned_length,name_touristy
missing,,,0,1,entire_place,4,1.0,1.0,70.0,30,365,1,0,0,5.0,4.0,5.0,1,0,0,Centro Storico,11.438356164383562,1.926027397260274,1.926027397260274,1.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,5,162,0
within_hour,1.0,1.0,0,1,private_room,2,1.0,1.0,65.0,17,301,119,1,0,4.87,4.9,4.71,1,0,1,Centro Storico,10.567123287671231,8.364383561643836,1.695890410958904,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,5,152,0
missing,,,0,1,entire_place,2,1.0,1.0,75.0,29,89,15,0,0,5.0,4.75,4.67,0,0,1,Gavinana Galluzzo,11.438356164383562,4.972602739726027,3.2,1.0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,175,0
few_days,0.0,,1,1,entire_place,4,2.0,4.0,89.0,28,363,20,0,0,4.88,4.76,4.82,1,0,1,Centro Storico,7.408219178082191,3.26027397260274,1.4164383561643836,2.0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,5,162,0
within_hour,1.0,1.0,0,1,hotel_room,2,1.0,1.0,70.0,20,352,512,7,0,4.87,4.71,4.82,1,0,1,Centro Storico,11.238356164383562,9.312328767123288,0.8821917808219178,1.0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,4,165,0
missing,,,0,1,entire_place,4,2.0,2.0,75.0,11,346,25,0,0,4.33,4.81,4.29,0,0,1,Centro Storico,11.178082191780822,5.663013698630137,2.186301369863014,1.0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,3,156,0
within_hour,1.0,1.0,0,1,entire_place,2,1.0,1.0,142.0,0,0,7,0,0,4.43,4.86,4.43,1,0,1,Centro Storico,8.794520547945206,4.657534246575342,3.895890410958904,1.0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,5,159,0
within_hour,1.0,1.0,1,1,entire_place,4,1.0,2.0,129.0,5,296,286,11,0,4.86,4.9,4.84,1,0,0,Centro Storico,12.03013698630137,8.38082191780822,1.5287671232876712,1.0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,5,68,0
missing,,,0,1,entire_place,3,1.0,3.0,60.0,17,352,404,1,0,4.78,4.57,4.75,0,0,0,Isolotto Legnaia,11.046575342465754,8.331506849315069,1.873972602739726,1.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,4,141,0
within_hour,1.0,1.0,0,1,private_room,3,1.0,1.0,65.0,5,298,88,1,0,4.84,4.85,4.78,1,0,1,Centro Storico,10.567123287671231,9.36164383561644,1.7123287671232876,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,5,163,0
within_hour,1.0,1.0,0,1,private_room,1,1.0,1.0,43.0,8,284,201,8,1,4.88,4.82,4.66,1,0,1,Centro Storico,10.567123287671231,8.191780821917808,1.1534246575342466,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,5,165,0
