id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6623,Venice Blue on Canal apartment,15016,Francesca,Isole,San Polo,45.43823,12.32902,Entire home/apt,225,7,162,2019-06-26,1.55,3,351
6624,Venice garden charme and canal view!,15016,Francesca,Isole,Santa Croce,45.43971,12.32799,Entire home/apt,250,7,64,2016-07-17,0.68,3,338
12074,Venice home to relax and emotions,15016,Francesca,Isole,Santa Croce,45.44049,12.32877,Entire home/apt,122,4,184,2018-09-17,1.54,3,364
27116,Charming room with balcony close to S. Mark's,116144,Giò&Giò,Isole,San Marco,45.43221,12.33411,Private room,200,1,411,2020-01-02,3.36,2,341
44527,Historical Luxury Apartment on Calm Sunny Canal,120215,Marc & Elisabeth,Isole,Cannaregio,45.44754,12.32918,Entire home/apt,280,2,77,2020-01-04,1.42,1,236
44998,Furlani Loft for up to 6,198581,Laura,Isole,Castello,45.43854,12.34959,Entire home/apt,200,5,6,2013-07-12,0.28,11,351
46054,Fuseri Apartment -Canal view,198581,Laura,Isole,San Marco,45.43439,12.33509,Entire home/apt,210,1,61,2019-10-09,0.70,11,335
47383,Ca' Barba B&B: room n102 (jacuzzi shower),214390,Alessandro,Isole,San Polo,45.43846,12.33235,Hotel room,65,2,279,2021-07-11,2.28,4,334
47549,Ca' Barba Apartment,215652,Caterina E Alessandro,Isole,Dorsoduro,45.43593,12.32521,Entire home/apt,136,2,145,2020-01-18,1.22,2,0
49656,Ca' Foscari Apartment,226598,Andrea,Isole,Dorsoduro,45.43549,12.32612,Entire home/apt,105,3,79,2019-06-23,0.95,2,348
51847,Furlani Apartment,198581,Laura,Isole,Castello,45.43546,12.34636,Entire home/apt,160,1,8,2013-06-24,0.11,11,353
56687,Waterfront Charm in Central Venice,268967,Renato,Isole,Cannaregio,45.44525,12.33166,Entire home/apt,150,3,47,2018-12-30,0.51,1,61
60007,Apartament alla Fenice a Venezia,288678,Furio,Isole,San Marco,45.43302,12.332,Entire home/apt,150,1,159,2020-09-30,1.33,1,322
60020,Bed and Breakfast Venice.it,288785,Nicola,Isole,Santa Croce,45.442,12.33075,Hotel room,105,2,44,2019-09-01,0.69,2,220
60304,B&B  Venice Casa Baseggio,290452,Marco,Isole,Cannaregio,45.44334,12.33483,Private room,100,1,150,2019-08-06,1.38,1,188
