host_is_superhost,host_total_listings_count,host_identity_verified,room_type,accommodates,bedrooms,beds,price,availability_30,availability_365,number_of_reviews,number_of_reviews_l30d,review_scores_cleanliness,review_scores_value,instant_bookable,reviews_per_month,description_host,description_neighbourhood,neighbourhood_cleansed_grouped,host_since_years,first_review_years,last_review_years,bathrooms_are_shared,bathrooms_count,amenity_washer,amenity_hangers,amenity_long_term_stays_allowed,amenity_shampoo,amenity_dishes_and_silverware,amenity_elevator,amenity_tv,amenity_hot_water,amenity_workspace,amenity_stove,amenity_bed_linens,amenity_refrigerator,amenity_hair_dryer,amenity_iron,amenity_coffee_maker,amenity_cooking_basics,name_cleaned_length,description_cleaned_length,name_touristy
0,6.0,1,hotel_room,3,1.0,2.0,87.0,26,361,11,0,5.0,4.45,0,0.25,0,0,Other,11.726027397260276,3.780821917808219,2.1232876712328768,0,1.0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,6,110,0
1,1.0,1,entire_place,5,1.0,3.0,65.0,8,114,324,0,4.66,4.69,1,2.94,0,0,Leopoldstadt,11.136986301369864,9.210958904109589,1.1424657534246576,0,1.0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,5,147,1
1,16.0,1,entire_place,6,2.0,4.0,88.0,0,289,158,0,4.87,4.74,1,1.9,0,0,Rudolfsheim-Fnfhaus,11.12054794520548,6.986301369863014,1.7671232876712328,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,140,1
1,3.0,1,private_room,2,1.0,2.0,50.0,3,301,117,1,4.68,4.71,0,0.98,0,1,Leopoldstadt,10.608219178082193,9.956164383561644,1.704109589041096,1,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,175,1
0,1.0,1,entire_place,4,2.0,2.0,65.0,0,129,14,0,4.67,4.42,0,0.17,0,1,Other,10.531506849315068,6.980821917808219,5.30958904109589,0,1.0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,4,169,0
0,1.0,1,entire_place,4,1.0,2.0,60.0,30,365,182,0,4.5,4.47,0,1.52,0,0,Rudolfsheim-Fnfhaus,10.501369863013698,9.972602739726028,1.7863013698630137,0,1.0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,5,147,1
1,2.0,1,entire_place,4,1.0,2.0,98.0,0,315,631,0,4.93,4.83,1,5.21,0,1,Neubau,10.408219178082192,10.093150684931508,1.4657534246575343,0,1.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4,143,1
0,41.0,1,entire_place,4,1.0,2.0,27.0,0,0,128,0,4.57,4.47,0,1.07,0,0,Margareten,10.375342465753423,9.93972602739726,1.83013698630137,0,1.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,8,139,1
0,3.0,1,entire_place,4,1.0,1.0,52.0,0,94,149,0,4.96,4.89,0,1.23,0,0,Other,10.31780821917808,10.10958904109589,1.8821917808219175,0,1.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,6,142,0
0,1.0,1,entire_place,3,1.0,1.0,95.0,0,0,17,0,4.67,4.93,0,0.92,0,0,Other,10.326027397260274,1.6575342465753424,2.367123287671233,0,1.0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,7,151,0
0,3.0,0,entire_place,5,1.0,3.0,76.0,24,164,26,0,4.8,4.44,0,0.26,0,1,Leopoldstadt,10.643835616438356,8.246575342465754,1.5178082191780822,0,1.5,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,4,168,0
1,4.0,1,entire_place,4,1.0,2.0,67.0,4,311,275,3,4.98,4.86,1,2.61,0,0,Leopoldstadt,10.287671232876711,8.789041095890411,1.515068493150685,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,143,0
0,15.0,1,entire_place,4,1.0,4.0,139.0,7,281,2,0,5.0,4.0,1,0.06,0,0,Other,10.238356164383562,2.835616438356164,2.706849315068493,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,161,0
0,2.0,0,entire_place,4,1.0,1.0,120.0,8,259,7,0,4.86,4.57,0,0.06,0,1,Leopoldstadt,10.202739726027398,9.136986301369864,1.6986301369863013,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,155,0
1,1.0,1,entire_place,3,1.0,2.0,52.0,18,284,127,0,4.72,4.58,1,1.14,0,1,Alsergrund,10.191780821917808,9.26027397260274,1.797260273972603,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,151,1
0,2.0,0,entire_place,2,1.0,0.0,45.0,1,94,6,0,4.0,3.25,0,0.22,0,0,Leopoldstadt,10.183561643835615,2.361643835616438,2.9863013698630136,0,1.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,8,158,1
1,1.0,1,entire_place,4,1.0,3.0,45.0,4,49,102,0,4.96,4.88,1,1.19,0,0,Other,10.254794520547945,7.205479452054795,2.3972602739726026,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,148,0
1,1.0,1,private_room,2,1.0,1.0,36.0,30,365,364,0,4.68,4.74,0,3.08,0,0,Other,10.142465753424656,9.854794520547944,2.265753424657534,1,1.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,6,155,1
0,1.0,1,entire_place,4,2.0,2.0,89.0,24,354,176,0,4.78,4.74,0,1.5,0,1,Other,10.4,9.761643835616438,2.0767123287671234,0,1.0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,6,145,0
1,10.0,1,entire_place,7,3.0,4.0,102.0,18,165,190,0,4.78,4.56,0,1.71,0,1,Margareten,10.142465753424656,9.284931506849317,1.9589041095890407,0,1.5,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,8,163,1
0,15.0,1,entire_place,2,1.0,2.0,107.0,18,246,2,0,5.0,5.0,1,0.03,0,0,Other,10.238356164383562,4.901369863013699,4.652054794520548,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,163,0
0,15.0,1,entire_place,3,1.0,3.0,107.0,29,247,1,0,5.0,5.0,1,0.02,0,0,Other,10.238356164383562,5.076712328767123,5.076712328767123,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,162,0
0,15.0,1,hotel_room,5,2.0,5.0,183.0,29,334,1,0,5.0,5.0,1,0.02,0,0,Other,10.238356164383562,4.3342465753424655,4.3342465753424655,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,159,0
1,2.0,1,entire_place,6,2.0,4.0,89.0,30,365,62,0,4.8,4.54,0,0.75,0,0,Alsergrund,10.054794520547944,6.928767123287671,2.0191780821917806,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,141,1
0,41.0,1,private_room,2,1.0,2.0,17.0,5,340,35,0,4.78,4.66,0,0.29,0,0,Margareten,10.375342465753423,9.912328767123288,1.473972602739726,0,2.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,8,150,1
0,41.0,1,entire_place,4,1.0,2.0,29.0,0,0,97,0,4.71,4.57,0,0.87,0,0,Margareten,10.375342465753423,9.336986301369864,1.7698630136986302,0,1.5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,7,142,0
0,1.0,1,entire_place,6,2.0,3.0,140.0,0,0,22,0,4.45,4.14,1,0.55,0,0,Mariahilf,10.016438356164384,3.416438356164384,2.898630136986301,0,1.0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,19,0
1,3.0,1,private_room,2,1.0,2.0,45.0,3,301,23,0,4.95,4.77,0,0.4,0,1,Leopoldstadt,10.608219178082193,4.865753424657535,2.698630136986301,0,2.0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,6,175,1
0,1.0,1,entire_place,6,3.0,6.0,136.0,30,365,22,0,4.81,4.55,1,0.29,1,1,Mariahilf,9.972602739726028,6.389041095890411,4.646575342465753,0,1.0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,4,152,0
1,3.0,1,entire_place,2,1.0,1.0,64.0,27,362,419,0,4.94,4.83,0,5.58,0,0,Mariahilf,9.967123287671232,6.312328767123288,1.4547945205479451,0,1.0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3,151,0
1,3.0,1,entire_place,2,1.0,1.0,53.0,3,318,561,0,4.91,4.79,0,4.91,0,0,Mariahilf,9.967123287671232,9.528767123287672,1.476712328767123,0,1.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,151,0
0,1.0,0,private_room,1,1.0,1.0,34.0,0,311,92,0,4.62,4.95,0,0.87,0,1,Mariahilf,9.953424657534246,8.827397260273973,1.6986301369863013,1,1.0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,7,164,0
0,28.0,1,entire_place,5,1.0,3.0,56.0,18,343,443,1,4.77,4.6,1,3.76,0,0,Leopoldstadt,9.994520547945204,9.830136986301367,1.498630136986301,0,1.0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,8,128,1
0,10.0,1,entire_place,6,1.0,3.0,67.0,1,188,130,5,4.61,4.51,1,1.37,0,1,Landstra§e,9.917808219178085,7.920547945205479,1.501369863013699,0,1.0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,132,0
0,10.0,1,entire_place,6,1.0,3.0,60.0,10,235,81,1,4.56,4.4,1,0.72,0,1,Favoriten,9.917808219178085,9.416438356164385,2.197260273972603,0,1.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,3,134,0
0,1.0,1,entire_place,5,2.0,5.0,150.0,24,292,102,0,4.92,4.78,1,1.47,0,0,Innere Stadt,9.917808219178085,5.8273972602739725,1.4931506849315068,0,1.0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,3,134,0
1,1.0,1,entire_place,2,1.0,1.0,79.0,6,341,167,0,4.9,4.8,0,1.48,0,0,Other,9.917808219178085,9.438356164383562,2.1397260273972605,0,1.5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,5,144,0
0,1.0,1,entire_place,5,2.0,7.0,61.0,17,312,168,2,4.52,4.64,1,1.82,0,0,Other,9.871232876712329,7.742465753424658,1.526027397260274,0,1.5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,129,0
1,2.0,1,entire_place,5,1.0,0.0,41.0,5,303,194,1,4.72,4.69,0,2.24,0,0,Leopoldstadt,9.895890410958904,7.254794520547946,1.821917808219178,0,1.0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,6,148,0
1,2.0,1,entire_place,5,1.0,2.0,50.0,15,303,160,0,4.79,4.71,1,1.42,0,1,Landstra§e,9.895890410958904,9.41095890410959,1.772602739726027,0,1.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,5,142,0
1,4.0,1,entire_place,5,1.0,2.0,91.0,23,358,25,0,4.88,4.75,0,0.23,0,0,Mariahilf,9.89041095890411,9.054794520547944,1.6794520547945206,0,1.0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,3,138,0
1,2.0,1,entire_place,6,1.0,3.0,82.0,17,289,149,0,4.79,4.75,1,1.33,0,0,Mariahilf,9.89041095890411,9.35890410958904,2.915068493150685,0,1.5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,5,170,1
0,41.0,1,entire_place,4,1.0,2.0,48.0,0,0,37,0,4.74,4.59,0,0.33,0,0,Margareten,10.375342465753423,9.326027397260274,3.0191780821917806,0,1.5,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,6,157,0
0,41.0,1,entire_place,5,1.0,3.0,15.0,21,272,56,0,4.7,4.45,0,0.67,0,0,Margareten,10.375342465753423,7.032876712328767,2.7643835616438355,0,1.0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,8,166,0
1,4.0,1,entire_place,3,1.0,0.0,60.0,5,60,33,0,4.88,4.56,0,0.32,0,0,Mariahilf,9.89041095890411,8.75068493150685,4.416438356164384,0,1.0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,5,148,0
1,2.0,1,entire_place,2,1.0,1.0,50.0,2,327,72,0,4.96,4.8,0,0.71,0,1,Leopoldstadt,9.898630136986302,8.424657534246576,1.4465753424657537,0,1.0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,7,162,1
1,16.0,1,entire_place,8,2.0,5.0,150.0,7,126,224,0,4.86,4.76,0,2.46,0,0,Neubau,11.12054794520548,7.638356164383562,2.0821917808219177,0,1.5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,5,147,0
0,1.0,0,entire_place,4,2.0,2.0,56.0,29,179,126,0,4.25,4.62,0,1.13,0,1,Leopoldstadt,9.816438356164385,9.336986301369864,1.536986301369863,0,1.0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,156,0
1,9.0,1,entire_place,9,3.0,6.0,217.0,0,125,95,0,4.94,4.75,1,1.19,0,1,Innere Stadt,9.810958904109588,6.728767123287671,1.523287671232877,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,152,0
1,2.0,1,entire_place,2,1.0,1.0,50.0,19,234,67,0,4.95,4.77,0,0.63,0,1,Leopoldstadt,9.898630136986302,8.873972602739727,1.4465753424657537,0,1.0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,7,160,1
0,1.0,1,entire_place,2,1.0,1.0,112.0,0,331,6,0,4.83,4.5,0,0.05,0,0,Margareten,9.786301369863011,9.663013698630136,2.66027397260274,0,2.0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,5,97,0
1,5.0,1,entire_place,3,1.0,1.0,110.0,0,224,7,0,5.0,4.71,0,0.18,0,0,Other,9.783561643835617,3.328767123287671,1.7205479452054795,0,1.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,9,157,0
0,5.0,1,entire_place,2,1.0,1.0,34.0,8,334,129,1,4.79,4.69,1,1.73,0,1,Other,9.76986301369863,6.282191780821917,1.632876712328767,0,1.0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,4,143,0
0,5.0,1,entire_place,4,1.0,1.0,35.0,2,323,165,0,4.77,4.77,1,1.53,0,0,Other,9.76986301369863,8.983561643835616,1.5397260273972602,0,1.0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,5,151,0
0,10.0,1,entire_place,3,1.0,1.0,60.0,29,364,263,0,4.84,4.64,0,2.26,0,1,Margareten,9.76986301369863,9.723287671232876,1.0986301369863014,0,1.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,6,152,0
0,0.0,1,entire_place,4,1.0,2.0,90.0,29,115,120,0,4.82,4.65,1,1.07,0,0,Neubau,9.764383561643836,9.364383561643836,2.778082191780822,0,1.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,6,124,0
1,2.0,1,entire_place,6,1.0,3.0,73.0,17,289,76,0,4.93,4.76,1,0.8,0,0,Mariahilf,9.89041095890411,7.920547945205479,1.8767123287671232,0,1.5,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,5,155,1
1,7.0,1,entire_place,7,2.0,7.0,224.0,19,91,26,1,4.96,4.76,1,0.4,0,1,Other,10.23013698630137,5.421917808219178,0.1863013698630137,0,3.0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,2,148,0
1,4.0,1,entire_place,2,1.0,1.0,58.0,17,317,248,0,4.96,4.89,1,2.92,0,1,Other,9.712328767123289,7.131506849315069,1.4602739726027398,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,164,0
0,10.0,1,entire_place,6,1.0,3.0,67.0,0,53,78,0,4.68,4.42,1,1.1,0,1,Other,9.917808219178085,5.983561643835617,2.3424657534246576,0,1.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,3,139,0
0,0.0,0,entire_place,4,1.0,4.0,57.0,0,220,61,0,4.77,4.61,1,0.55,0,1,Other,9.684931506849315,9.178082191780822,2.271232876712329,0,1.0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4,152,0
1,38.0,1,entire_place,6,2.0,2.0,131.0,0,77,453,0,4.77,4.64,1,4.18,0,0,Innere Stadt,9.676712328767124,9.052054794520547,1.9205479452054797,0,1.5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,5,156,1
1,5.0,1,entire_place,2,1.0,0.0,65.0,12,236,4,0,5.0,4.5,0,0.11,0,1,Landstra§e,9.665753424657536,3.016438356164384,3.1342465753424658,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,154,0
0,41.0,1,private_room,2,1.0,1.0,19.0,0,0,50,0,4.88,4.68,0,1.23,0,0,Margareten,10.375342465753423,3.4904109589041097,1.9232876712328768,0,2.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,8,148,1
1,16.0,1,entire_place,6,2.0,3.0,88.0,0,194,83,0,4.92,4.78,1,0.78,0,0,Rudolfsheim-Fnfhaus,11.12054794520548,8.876712328767123,1.726027397260274,0,1.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,5,143,1
0,3.0,1,entire_place,4,1.0,3.0,40.0,0,270,118,0,4.59,4.55,1,1.04,0,1,Margareten,10.0,9.46027397260274,1.7232876712328766,0,1.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,4,149,0
0,4.0,1,entire_place,6,1.0,0.0,89.0,23,171,318,1,4.5,4.51,0,2.83,0,1,Neubau,11.213698630136989,9.386301369863014,1.4684931506849317,0,1.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,6,148,1
1,1.0,1,entire_place,3,1.0,2.0,60.0,0,312,68,1,4.91,4.71,0,0.6,0,0,Margareten,9.586301369863014,9.389041095890413,4.175342465753425,0,1.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,7,153,0
