id,num_of_stops,total_distance,shortName,type,From,To
BKK_0540,33.0,16722.0,54,BUS,"Péterimajor, Víztorony tér",Boráros tér H
BKK_VP50,7.0,3093.0,50,BUS,Lajosmizsei sorompó,Határ út M
BKK_3020,12.0,6070.0,2,TRAM,Jászai Mari tér,Közvágóhíd H
BKK_2361,28.0,11019.0,236A,BUS,Havanna utcai lakótelep,"Ganztelep, Mednyánszky u."
BKK_1231,20.0,8834.0,123A,BUS,Szentlőrinci úti ltp.,Határ út M
BKK_3560,36.0,17130.0,56,TRAM,Városház tér,Hűvösvölgy
BKK_3490,11.0,5394.0,49,TRAM,Kelenföld vasútállomás M,Deák Ferenc tér M
BKK_3610,25.0,11078.0,61,TRAM,Móricz Zs. körtér M,Hűvösvölgy
BKK_2234,20.0,11978.0,223M,BUS,Boráros tér H,Szentlőrinci úti ltp.
BKK_0980,36.0,15535.0,98,BUS,Rákoscsaba vasútállomás,Kőbánya-Kispest M
BKK_3190,24.0,11258.0,19,TRAM,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
BKK_2360,31.0,12911.0,236,BUS,Havanna utcai lakótelep,Market Central Ferihegy
BKK_0205,21.0,13382.0,20E,BUS,Keleti pályaudvar M,"Káp.megyer, Szilas-patak"
BKK_3014,19.0,11204.0,1M,TRAM,Népliget M,Bécsi út / Vörösvári út
BKK_2980,7.0,2783.0,298,BUS,Zimonyi utca,Rákoscsaba vasútállomás
BKK_1335,38.0,26796.0,133E,BUS,"Újpalota, Nyírpalota út","Nagytétény, Erdélyi utca"
BKK_0270,11.0,3725.0,27,BUS,Citadella - Sánc utca,Móricz Zs. körtér M
BKK_3010,31.0,18178.0,1,TRAM,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
BKK_1365,8.0,5321.0,136E,BUS,Havanna utcai lakótelep,Kőbánya-Kispest M
BKK_3590,16.0,6476.0,59,TRAM,Márton Áron tér,Szent János Kórház
BKK_0881,35.0,16845.0,88A,BUS,"Törökbálint, Márta utca",Kelenföld vasútállomás M
BKK_0402,16.0,7601.0,40B,BUS,Budaörsi lakótelep,Kelenföld vasútállomás M
