licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
V1440,Ganz csuklós,TRAM,47.46995,19.02553,,,
MOS267,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.486557,19.187325,956,"Pécel, Kun József utca",Pesthidegkút-Hűvösvölgy
MPW614,VanHool A330 CNG típusú szóló autóbusz,BUS,47.427944,19.1572,,,
V1581,TW 6000,TRAM,47.490116,19.089779,,,
LOV873,VanHool AG318 csuklós autóbusz,BUS,47.43968,19.163424,914,"Káp.megyer, Mogyoródi-p.",Dél-pesti autóbuszgarázs
V1441,Ganz csuklós,TRAM,47.47011,19.025192,47,Városház tér,Deák Ferenc tér M
V1580,TW 6000,TRAM,47.470757,19.092012,24,Keleti pályaudvar M,Közvágóhíd H
LOV868,VanHool AG318 csuklós autóbusz,BUS,47.510883,19.056593,923,Békásmegyer H,Dél-pesti autóbuszgarázs
BPO220,Ikarus 412-es típusú autóbusz,BUS,47.427032,19.15836,,,
LOV869,VanHool AG318 csuklós autóbusz,BUS,47.52005,19.067406,914,"Káp.megyer, Mogyoródi-p.",Dél-pesti autóbuszgarázs
MPW618,VanHool A330 CNG típusú szóló autóbusz,BUS,47.42783,19.157312,,,
MPW620,VanHool A330 CNG típusú szóló autóbusz,BUS,47.42681,19.158737,,,
LOV874,VanHool AG318 csuklós autóbusz,BUS,47.42859,19.155987,,,
MOS271,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.487305,19.28708,,,
V2205,CAF 5 modulos szerelvény,TRAM,47.46488,19.123177,3,Mexikói út M,Gubacsi út / Határ út
LOV875,VanHool AG318 csuklós autóbusz,BUS,47.42822,19.156374,123A,Szentlőrinci úti ltp.,Határ út M
V2207,CAF 5 modulos szerelvény,TRAM,47.492058,19.139452,3,Mexikói út M,Gubacsi út / Határ út
MPW616,VanHool A330 CNG típusú szóló autóbusz,BUS,47.42682,19.159124,,,
LOV881,VanHool AG318 csuklós autóbusz,BUS,47.42826,19.156397,,,
NBW003,MERCEDES Conecto szóló (BKV),BUS,47.501625,19.234426,,,
MPW622,VanHool A330 CNG típusú szóló autóbusz,BUS,47.42755,19.158434,,,
V2211,CAF 5 modulos szerelvény,TRAM,47.46554,19.12269,3,Mexikói út M,Gubacsi út / Határ út
V4224,Tátra T5C5K,TRAM,47.554104,19.091105,14,"Káp.megyer, Megyeri út",Lehel tér M
V2214,CAF 5 modulos szerelvény,TRAM,47.465233,19.122513,3,Mexikói út M,Gubacsi út / Határ út
LOV878,VanHool AG318 csuklós autóbusz,BUS,47.504696,19.064049,923,Békásmegyer H,Dél-pesti autóbuszgarázs
MPW631,VanHool A330 CNG típusú szóló autóbusz,BUS,47.426693,19.159052,,,
MPW625,VanHool A330 CNG típusú szóló autóbusz,BUS,47.43571,19.183393,980,Dél-pesti autóbuszgarázs,"Rákoskeresztúr, városkp."
V2218,CAF 5 modulos szerelvény,TRAM,47.464752,19.123566,3,Mexikói út M,Gubacsi út / Határ út
NBW009,MERCEDES Conecto szóló (BKV),BUS,47.491795,19.051844,908,Cinkotai autóbuszgarázs,Móricz Zs. körtér M
NBW008,MERCEDES Conecto szóló (BKV),BUS,47.49969,19.09527,990,Rákoskert,Normafa
MUT887,VanHool  NewAG300 csuklós autóbusz,BUS,47.42803,19.158888,,,
V1559,TW 6000,TRAM,47.47087,19.092035,,,
V4043,Tátra T5C5K,TRAM,47.50601,19.039394,,,
MUT889,VanHool  NewAG300 csuklós autóbusz,BUS,47.5978,19.05395,923,Békásmegyer H,Dél-pesti autóbuszgarázs
V4315,Tátra T5C5K,TRAM,47.490547,19.089369,,,
LOV857,VanHool AG318 csuklós autóbusz,BUS,47.417835,19.207533,950A,"Rákospalota, Kossuth utca",Pestszentimre vasútáll.
MUT894,VanHool  NewAG300 csuklós autóbusz,BUS,47.437653,19.101278,923,Békásmegyer H,Dél-pesti autóbuszgarázs
V2101,CAF 9 modulos szerelvény,TRAM,47.491474,19.103868,,,
MUT891,VanHool  NewAG300 csuklós autóbusz,BUS,47.42528,19.15703,923,Békásmegyer H,Dél-pesti autóbuszgarázs
