licensePlate,model,vehicleRouteType,tripId,lat,lon,shortName,From,To
V1440,Ganz csuklós,TRAM,BKK_C218468,47.461163,19.041777,47,Városház tér,Deák Ferenc tér M
V2112,CAF 9 modulos szerelvény,TRAM,BKK_C3489331929,47.49767,19.108898,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV871,VanHool AG318 csuklós autóbusz,BUS,BKK_C3592411,47.439873,19.118017,223M,Boráros tér H,Szentlőrinci úti ltp.
V4334,Tátra T5C5K,TRAM,,47.47041,19.02511,,,
LOV873,VanHool AG318 csuklós autóbusz,BUS,,47.4272,19.159906,,,
V1441,Ganz csuklós,TRAM,BKK_C3635021,47.46603,19.02196,49,Kelenföld vasútállomás M,Deák Ferenc tér M
BPO221,Ikarus 412-es típusú autóbusz,BUS,BKK_C3562059,47.463314,19.146873,282E,Alacskai úti lakótelep,Kőbánya-Kispest M
LOV868,VanHool AG318 csuklós autóbusz,BUS,BKK_C3658194,47.405098,19.184557,54,"Péterimajor, Víztorony tér",Boráros tér H
BPO220,Ikarus 412-es típusú autóbusz,BUS,BKK_C3515719,47.457253,19.146547,68,"Akadémiaújtelep, 525. tér",Vas Gereben utca
LOV869,VanHool AG318 csuklós autóbusz,BUS,BKK_C3551376,47.444405,19.096638,923,Békásmegyer H,Dél-pesti autóbuszgarázs
V4332,Tátra T5C5,TRAM,,47.490963,19.088346,,,
V1448,Ganz csuklós,TRAM,BKK_C36350718,47.47617,19.042612,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2209,CAF 5 modulos szerelvény,TRAM,BKK_C3495435,47.485107,19.131582,3,Mexikói út M,Gubacsi út / Határ út
V2208,CAF 5 modulos szerelvény,TRAM,,47.465565,19.122612,3,Mexikói út M,Gubacsi út / Határ út
V2205,CAF 5 modulos szerelvény,TRAM,BKK_C34954171,47.456444,19.115166,3,Mexikói út M,Gubacsi út / Határ út
LOV874,VanHool AG318 csuklós autóbusz,BUS,,47.426502,19.158537,,,
V1444,Ganz csuklós,TRAM,,47.470657,19.091753,2,Jászai Mari tér,Közvágóhíd H
V2204,CAF 5 modulos szerelvény,TRAM,BKK_C349545808,47.449184,19.104921,3,Mexikói út M,Gubacsi út / Határ út
V1443,Ganz csuklós,TRAM,BKK_C363501346,47.480232,19.051817,49,Kelenföld vasútállomás M,Deák Ferenc tér M
LOV875,VanHool AG318 csuklós autóbusz,BUS,,47.42705,19.159857,,,
V2207,CAF 5 modulos szerelvény,TRAM,BKK_C3495456,47.522186,19.10318,3,Mexikói út M,Gubacsi út / Határ út
LOV877,VanHool AG318 csuklós autóbusz,BUS,BKK_C3695030,47.447342,19.115833,123A,Szentlőrinci úti ltp.,Határ út M
