licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
V1440,Ganz csuklós,TRAM,47.47471,19.046574,47,Városház tér,Deák Ferenc tér M
V4335,Tátra T5C5,TRAM,47.490093,19.089258,,,
LOV871,VanHool AG318 csuklós autóbusz,BUS,47.42823,19.156422,,,
LOV872,VanHool AG318 csuklós autóbusz,BUS,47.40522,19.184383,54,"Péterimajor, Víztorony tér",Boráros tér H
V1441,Ganz csuklós,TRAM,47.477867,19.047653,47,Városház tér,Deák Ferenc tér M
BPO221,Ikarus 412-es típusú autóbusz,BUS,47.42734,19.15805,,,
LOV868,VanHool AG318 csuklós autóbusz,BUS,47.427002,19.159351,,,
BPO220,Ikarus 412-es típusú autóbusz,BUS,47.42843,19.15664,,,
V1448,Ganz csuklós,TRAM,47.469826,19.025513,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2209,CAF 5 modulos szerelvény,TRAM,47.46512,19.123169,3,Mexikói út M,Gubacsi út / Határ út
MPW619,VanHool A330 CNG típusú szóló autóbusz,BUS,47.426086,19.158491,99,Mátyás király tér,Blaha Lujza tér M
V4070,Tátra T5C5K,TRAM,47.478508,19.048927,56A,Móricz Zs. körtér M,Hűvösvölgy
V2208,CAF 5 modulos szerelvény,TRAM,47.516712,19.116892,3,Mexikói út M,Gubacsi út / Határ út
V2205,CAF 5 modulos szerelvény,TRAM,47.502655,19.13677,3,Mexikói út M,Gubacsi út / Határ út
LOV874,VanHool AG318 csuklós autóbusz,BUS,47.42884,19.155766,,,
V4339,Tátra T5C5,TRAM,47.490253,19.089203,,,
V2204,CAF 5 modulos szerelvény,TRAM,47.465008,19.124048,3,Mexikói út M,Gubacsi út / Határ út
LOV875,VanHool AG318 csuklós autóbusz,BUS,47.440147,19.117434,23,Boráros tér H,"P.erzsébet, Ady Endre tér"
V1443,Ganz csuklós,TRAM,47.489616,19.061176,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2206,CAF 5 modulos szerelvény,TRAM,47.465553,19.12323,3,Mexikói út M,Gubacsi út / Határ út
947,MXA,SUBURBAN_RAILWAY,47.360695,19.086975,H6,Ráckeve,Közvágóhíd
MPW622,VanHool A330 CNG típusú szóló autóbusz,BUS,47.481037,19.134516,217,Szarvas csárda tér,Kőbánya alsó vasútáll.
V1450,Ganz csuklós,TRAM,47.459305,19.041145,47,Városház tér,Deák Ferenc tér M
V2214,CAF 5 modulos szerelvény,TRAM,47.487743,19.1342,3,Mexikói út M,Gubacsi út / Határ út
MPW624,VanHool A330 CNG típusú szóló autóbusz,BUS,47.42697,19.160769,,,
V2213,CAF 5 modulos szerelvény,TRAM,47.44373,19.096762,3,Mexikói út M,Gubacsi út / Határ út
MPW623,VanHool A330 CNG típusú szóló autóbusz,BUS,47.428043,19.158323,,,
