iter	RMSE	R2
0	0.9559645308	0.2049403907
1	0.8552510405	0.3636392931
2	0.7695024585	0.484847091
3	0.6961033101	0.578435986
4	0.6356211916	0.6485100844
5	0.5839520698	0.7033321137
6	0.5397251658	0.7465679889
7	0.5011116883	0.7815333252
8	0.4682380251	0.8092566122
9	0.440278373	0.8313560216
10	0.41715273	0.8486068193
11	0.3970377193	0.8628550981
12	0.3809216989	0.8737627403
13	0.3665506578	0.8831081749
14	0.3545302152	0.8906490295
15	0.344812778	0.8965613519
16	0.3365666197	0.90144964
17	0.3290721347	0.9057897079
18	0.3224625395	0.909536232
19	0.3170143707	0.9125672713
20	0.3123654307	0.9151128285
21	0.3078389364	0.9175552068
22	0.3036495633	0.9197839163
23	0.2997520798	0.9218299223
24	0.2964578883	0.923538616
25	0.2936428922	0.9249837899
26	0.2909768639	0.9263397734
27	0.2888590678	0.9274081033
28	0.2862405208	0.9287182489
29	0.283846494	0.9299056195
30	0.2817461189	0.9309391344
31	0.2798980833	0.9318421343
32	0.2783198516	0.9326085965
33	0.2762130148	0.933625019
34	0.2746966053	0.9343518158
35	0.2733980704	0.9349710078
36	0.2722149235	0.9355326239
37	0.2708629688	0.9361713878
38	0.2695688517	0.9367798458
39	0.2685990236	0.937233922
40	0.267577553	0.9377104076
41	0.26640689	0.9382542545
42	0.2655541899	0.9386488865
43	0.2644688994	0.9391493322
44	0.2633842522	0.9396474335
45	0.2622329012	0.9401739275
46	0.2613101468	0.940594223
47	0.2604765943	0.9409726151
48	0.2598228528	0.941268536
49	0.2590008984	0.9416395443
50	0.258145737	0.9420242937
51	0.2573088611	0.9423995842
52	0.2566391984	0.9426990116
53	0.2559248461	0.9430175609
54	0.2554334632	0.9432361666
55	0.2549841015	0.9434357102
56	0.2542408929	0.9437649684
57	0.2536206345	0.9440390211
58	0.2529039046	0.9443548648
59	0.2520609253	0.9447251993
60	0.251487067	0.9449765972
61	0.2507944885	0.9452792414
62	0.2502371642	0.945522176
63	0.2496968785	0.9457571675
64	0.2491397837	0.9459989382
65	0.2486304092	0.9462195264
66	0.2483018497	0.9463615718
67	0.2476038137	0.9466627289
68	0.2471342504	0.9468648378
69	0.2464868893	0.9471428453
70	0.2460549005	0.9473279561
71	0.2455942435	0.9475249937
72	0.245189347	0.9476978759
73	0.244807093	0.9478608284
74	0.244129985	0.9481488513
75	0.2437570814	0.9483071335
76	0.243230708	0.9485301455
77	0.2428337822	0.9486979947
78	0.2422741011	0.948934203
79	0.2418654956	0.9491063069
80	0.2415294691	0.9492476231
81	0.2410722742	0.9494395812
82	0.2406934878	0.9495983431
83	0.2403812319	0.9497290322
84	0.2399820758	0.9498958448
85	0.2395355707	0.9500821166
86	0.2391812087	0.9502297015
87	0.2386986126	0.950430342
88	0.2382050938	0.9506351045
