iter	Passed	Remaining
0	182	182251
1	213	106725
2	242	80549
3	271	67727
4	299	59654
5	325	53994
6	352	49965
7	379	47032
8	404	44499
9	436	43233
10	463	41642
11	490	40397
12	514	39031
13	544	38373
14	575	37770
15	596	36705
16	621	35922
17	645	35200
18	670	34616
19	692	33928
20	714	33288
21	737	32773
22	758	32199
23	777	31606
24	798	31154
25	822	30813
26	844	30435
27	868	30142
28	892	29898
29	914	29561
30	937	29300
31	960	29064
32	985	28883
33	1006	28591
34	1026	28313
35	1049	28113
36	1072	27924
37	1094	27698
38	1123	27685
39	1149	27597
40	1178	27563
41	1207	27551
42	1235	27489
43	1265	27489
44	1302	27638
45	1337	27734
46	1371	27800
47	1395	27672
48	1416	27490
49	1439	27351
50	1462	27222
51	1490	27172
52	1514	27057
53	1539	26972
54	1562	26853
55	1587	26754
56	1611	26658
57	1635	26555
58	1660	26483
59	1686	26424
60	1712	26358
61	1735	26263
62	1757	26141
63	1781	26058
64	1809	26035
65	1837	26004
66	1861	25917
67	1890	25909
68	1915	25849
69	1942	25810
70	1964	25703
71	1985	25592
72	2013	25565
73	2041	25546
74	2066	25491
75	2088	25397
76	2117	25377
77	2141	25311
78	2161	25201
79	2185	25134
80	2206	25030
81	2230	24966
82	2254	24913
83	2277	24830
84	2311	24880
85	2334	24807
86	2351	24682
87	2386	24729
88	2409	24662
89	2430	24579
90	2460	24574
91	2479	24471
92	2505	24432
93	2534	24431
94	2568	24471
95	2598	24473
96	2633	24516
97	2663	24513
98	2686	24447
99	2705	24348
100	2740	24393
101	2764	24342
102	2791	24314
103	2818	24282
104	2841	24224
105	2866	24174
106	2886	24092
107	2911	24047
108	2937	24011
109	2965	23994
110	2996	24001
111	3038	24092
112	3081	24184
113	3124	24284
114	3179	24470
115	3236	24666
116	3275	24722
117	3303	24695
118	3330	24657
119	3355	24607
120	3383	24582
121	3411	24551
122	3440	24528
123	3470	24517
124	3498	24488
125	3529	24479
126	3573	24562
127	3614	24623
128	3686	24893
129	3736	25002
130	3758	24929
131	3779	24852
132	3800	24772
133	3821	24698
134	3847	24653
135	3872	24601
136	3898	24558
137	3925	24523
138	3952	24480
139	3980	24450
140	4005	24402
141	4034	24380
142	4064	24359
143	4090	24315
144	4128	24345
145	4182	24462
146	4219	24483
147	4254	24493
148	4297	24545
149	4320	24483
150	4345	24433
151	4363	24345
152	4389	24299
153	4419	24277
154	4444	24231
155	4472	24198
156	4505	24191
157	4527	24126
158	4561	24126
159	4592	24109
160	4616	24059
161	4644	24025
162	4670	23983
163	4698	23953
164	4722	23900
165	4742	23829
166	4788	23886
167	4841	23975
168	4886	24027
169	4911	23981
170	4952	24008
171	4975	23951
172	5013	23966
173	5051	23979
174	5093	24011
175	5145	24089
176	5187	24122
177	5214	24081
178	5248	24074
179	5275	24030
180	5297	23970
181	5324	23932
182	5346	23868
183	5365	23792
184	5391	23750
185	5414	23696
186	5441	23657
187	5459	23578
188	5491	23565
189	5515	23512
190	5532	23434
191	5555	23377
192	5577	23322
193	5598	23260
194	5627	23231
195	5648	23169
196	5675	23135
197	5699	23086
198	5722	23033
199	5744	22977
200	5769	22935
201	5798	22906
202	5823	22862
203	5844	22804
204	5865	22748
205	5885	22684
206	5908	22636
207	5929	22577
208	5955	22541
209	5994	22550
210	6047	22614
211	6093	22648
212	6142	22695
213	6173	22673
214	6197	22629
215	6225	22596
216	6252	22561
217	6280	22530
218	6307	22493
219	6330	22445
220	6359	22416
221	6378	22355
222	6404	22313
223	6432	22285
224	6454	22231
225	6485	22210
226	6509	22168
227	6541	22149
228	6581	22158
229	6614	22144
230	6666	22192
231	6698	22175
232	6753	22232
233	6793	22238
234	6825	22220
235	6852	22182
236	6876	22137
237	6898	22087
238	6925	22051
239	6953	22020
240	6985	21999
241	7026	22008
242	7064	22006
243	7115	22046
244	7153	22043
245	7187	22028
246	7238	22068
247	7272	22052
248	7303	22027
249	7331	21995
250	7361	21967
251	7394	21949
252	7423	21919
253	7439	21851
254	7466	21814
255	7486	21756
256	7509	21709
257	7533	21665
258	7570	21658
259	7621	21691
260	7684	21757
261	7718	21740
262	7771	21777
263	7815	21788
264	7838	21740
265	7859	21688
266	7886	21651
267	7916	21621
268	7935	21563
269	7958	21518
270	7984	21478
271	8001	21415
272	8029	21382
273	8079	21407
274	8140	21460
275	8184	21470
276	8211	21433
277	8241	21405
278	8261	21349
279	8280	21293
280	8301	21240
281	8330	21210
282	8358	21177
283	8386	21144
284	8428	21144
285	8464	21132
286	8528	21186
287	8565	21176
288	8611	21185
289	8633	21136
290	8651	21078
291	8678	21041
292	8703	21000
293	8722	20945
294	8752	20917
295	8777	20876
296	8807	20847
297	8828	20797
298	8858	20767
299	8883	20727
300	8909	20690
301	8926	20632
302	8948	20584
303	8965	20525
304	8984	20473
305	9006	20427
306	9035	20395
307	9054	20342
308	9076	20298
309	9100	20255
310	9125	20216
311	9143	20161
312	9164	20115
313	9186	20069
314	9206	20021
315	9235	19990
316	9270	19973
317	9291	19927
318	9318	19893
319	9336	19839
320	9354	19786
321	9377	19745
322	9397	19696
323	9421	19658
324	9444	19614
325	9465	19569
326	9491	19535
327	9513	19490
328	9533	19443
329	9552	19393
330	9584	19372
331	9604	19324
332	9626	19282
333	9649	19240
334	9673	19203
335	9699	19167
336	9732	19147
337	9755	19106
338	9772	19054
339	9802	19028
340	9830	18997
341	9862	18974
342	9882	18929
343	9903	18885
344	9929	18851
345	9959	18824
346	9982	18786
347	10011	18757
348	10034	18718
349	10061	18685
350	10098	18672
351	10121	18633
352	10146	18597
353	10173	18564
354	10194	18521
355	10215	18479
356	10233	18432
357	10260	18399
358	10277	18350
359	10300	18312
360	10324	18274
361	10347	18236
362	10370	18197
363	10391	18156
364	10407	18106
365	10427	18063
366	10462	18045
367	10478	17996
368	10503	17961
369	10531	17931
370	10554	17894
371	10576	17855
372	10594	17809
373	10616	17770
374	10637	17729
375	10658	17687
376	10678	17646
377	10703	17612
378	10730	17581
