iter	RMSE
0	59058869.45
1	54112140.67
2	50370364.62
3	47271638.98
4	44916719.16
5	43394027.06
6	41723719.89
7	40576061.06
8	39663309.7
9	38820668.14
10	38007641.45
11	37352034.43
12	36769927.59
13	36312170.75
14	35905458.59
15	35627744.13
16	35314761.83
17	35096739.1
18	34851565.26
19	34657068.49
20	34456265.07
21	34267704.83
22	34122095.37
23	33973723.5
24	33875973.5
25	33686368.7
26	33540858.84
27	33442509.71
28	33312168.95
29	33215771.15
30	33098212.42
31	33017778.59
32	32885774.52
33	32801061.59
34	32718413.19
35	32610181.17
36	32503137.12
37	32411305.57
38	32359540.99
39	32299551.44
40	32180143.78
41	32097920.45
42	32034938.68
43	31938131.22
44	31860454.2
45	31809255.36
46	31738349.09
47	31694002.48
48	31604882.7
49	31533982.46
50	31456243.52
51	31392301.42
52	31313577.55
53	31256505.13
54	31179910.06
55	31120782.87
56	31021097.63
57	30902326.4
58	30858250.58
59	30774131.7
60	30724194.58
61	30650883.84
62	30548877.93
63	30462621.13
64	30363731.86
65	30304065.42
66	30223102.2
67	30157521.4
68	30092463.47
69	30018101.74
70	29939039.49
71	29846731.81
72	29779822.53
73	29725699.5
74	29673245.36
75	29625685.49
76	29570282.49
77	29516037.98
78	29449038.78
79	29409927.21
80	29341255.93
81	29279182.63
82	29235455.85
83	29200235.78
84	29152345.77
85	29106009.16
86	29057173.24
87	29012292.39
88	28978451.41
89	28915516.81
90	28878252.22
91	28840576.1
92	28785511.82
93	28731981.85
94	28678703.59
95	28641687.3
96	28580249.22
97	28543996.89
98	28508616.13
99	28458343.22
100	28388897.34
101	28345170.29
102	28299600.58
103	28261109.46
104	28221589.05
105	28187817.59
106	28153638.73
107	28128342.12
108	28109386.75
109	28065976.15
110	28034209.98
111	27981281.07
112	27946731.92
113	27899401.27
114	27866227.91
115	27803193.02
116	27768220.26
117	27741824.37
118	27695498.8
119	27644968.79
120	27624060.36
121	27581343.08
122	27543292.1
123	27517659.98
124	27489021.21
125	27471578.61
126	27441447.91
127	27415191.33
128	27356415.39
129	27338795.91
130	27298461.56
131	27267161.36
132	27243305.48
133	27200831.44
134	27187744.14
135	27151550.93
136	27115287.9
137	27084212.42
138	27066533.32
139	27045970.82
140	27005786.3
141	26968973.62
142	26935194.57
143	26893027.33
144	26860865.81
145	26825866.23
146	26791103.22
147	26769335.27
148	26747673.67
149	26727543.47
150	26691016.11
151	26662479.1
152	26636717.5
153	26616906.92
154	26579983.21
155	26519987.13
156	26500578.27
157	26449473.28
158	26356905.06
159	26328050.01
160	26308408.22
161	26288117.69
162	26268917.73
163	26253214.08
164	26226218.5
165	26202566.26
166	26165488.91
167	26140651.6
168	26114397.71
169	26090731.61
170	26048438.17
171	26034310.48
172	26004288.58
173	25962387.98
174	25950669.38
175	25915445.52
176	25884274.74
177	25848680.71
178	25836304.86
179	25793598.56
180	25764531.33
181	25741715.95
182	25723787.53
183	25710329.19
184	25696727.65
185	25669221.15
186	25632199.05
187	25602228.76
188	25585122.86
189	25568329.87
190	25545430.47
191	25529675.49
192	25463938.97
193	25408741.28
194	25367692.82
195	25351187.5
196	25309653.16
197	25288253.07
198	25275331.78
199	25257812.32
200	25243146.82
201	25234576.91
202	25213043.49
203	25199005.69
204	25192766.22
205	25159028.97
206	25140958.01
207	25099331.22
208	25087716.87
209	25046717.97
210	24978654.96
211	24947020.64
212	24907659.27
213	24871984.47
214	24850807.28
215	24821255.5
216	24797624.48
217	24771203.99
218	24739717.43
219	24679926.29
220	24671486.66
221	24653586.99
222	24620351.53
223	24589507.55
224	24570657.22
225	24560390.53
226	24543663.64
227	24529571.65
228	24496414.5
229	24473462.61
230	24451536.17
231	24415557.58
232	24402973.45
233	24382532.05
234	24369747.74
235	24354937.15
236	24337275.02
237	24319370.06
238	24299990.14
239	24282465.38
240	24262217.68
241	24250976.26
242	24184167.63
243	24159676.28
244	24133889.61
245	24123838.02
246	24111397.27
247	24097100.24
248	24082401.18
249	24062334.58
250	24046065.04
251	24032435.87
252	24008990.75
253	23998091.57
254	23987008.61
255	23968593.58
256	23946304.57
257	23931979.33
258	23909255.77
259	23900480.96
260	23860477.6
261	23843639.7
262	23825436.73
263	23802578.87
264	23790703.22
265	23769078.6
266	23752948.54
267	23743488.34
268	23713949.58
269	23685126.45
270	23678342.74
271	23661810.31
272	23639416.67
273	23619931.92
274	23611638.75
275	23595403.92
276	23581029.84
277	23555665.86
278	23548225.68
279	23495486.77
280	23475328.87
281	23459264.93
282	23443147.13
283	23423524.59
284	23403091.89
285	23388655.01
286	23362958.03
287	23354704.66
288	23332956.05
289	23328322.41
290	23319835.4
291	23309204.48
292	23301921.2
293	23266252.03
294	23250016.92
295	23241147.55
296	23222322.98
297	23205255.31
298	23192376.11
299	23178906.28
300	23169404.55
301	23155647
302	23133468.89
303	23110271.53
304	23094712.03
305	23068385.15
306	23024913.58
307	23010227.32
308	22990407.94
309	22969901.27
310	22948296.94
311	22928118.79
312	22913260.36
313	22900898.74
314	22877208.39
315	22854582.84
316	22827717.47
317	22808911.58
318	22783441.49
319	22759816.09
320	22733254.53
321	22705894.94
322	22690520.96
323	22677066.05
324	22658475.74
325	22632518.71
326	22616193.31
327	22609672.16
328	22591631.3
329	22548335.93
330	22528367.14
331	22507871.21
332	22486186.2
333	22465368.31
334	22443114.68
335	22416229.43
336	22397676.7
337	22385839.64
338	22375871.34
339	22363602.35
340	22335701.25
341	22313930.51
342	22299341.71
343	22277802.61
344	22263808.52
345	22253343.19
346	22246658.67
347	22238367.78
348	22223157.23
349	22200918.54
350	22175831.36
351	22164363.64
352	22144047.24
353	22139510.42
354	22120906.26
355	22096853.36
356	22072775.5
357	22058169.75
358	22051025.93
359	22039264.31
360	22005791.97
361	21991177.2
362	21977354.05
363	21956114.93
364	21940390.1
365	21925378.53
366	21913940.89
367	21903732.7
368	21887065.86
369	21870265.85
370	21853844.2
371	21837204.83
372	21830660.32
373	21813379.43
374	21789240.37
375	21773452.31
376	21765868.37
377	21760951.71
378	21744523.96
379	21734989.67
380	21717819.79
381	21699503.66
382	21683993.22
383	21676076.8
384	21662219.72
385	21629247.49
386	21618071.23
387	21601835.97
388	21595485.68
389	21580933.48
390	21570399.38
391	21552802.18
392	21534502.2
393	21523643.7
394	21512682.31
395	21506867.82
396	21487126.54
397	21473185.52
398	21457738.2
399	21452675.58
400	21442471.98
401	21435778.92
402	21417563.25
403	21405447.32
404	21397824.64
405	21376692.33
406	21355074.72
407	21342986.58
408	21320213.77
409	21311442.35
410	21293078.23
411	21284825.91
412	21269777.87
413	21244147.31
414	21234336.52
415	21221065.4
416	21202836.42
417	21194933.95
418	21183683.68
419	21163639.39
420	21152041.57
421	21140695.67
422	21130622.99
423	21118657.33
424	21101804.1
425	21090454.69
426	21077446.46
427	21070117.97
428	21065908.6
429	21048534.67
430	21024400.05
431	21013564.59
432	21000935.26
433	20989235.28
434	20972091.59
435	20968849.73
436	20954224.84
437	20941368.48
438	20921955.34
439	20909723.71
440	20904761.46
441	20887140.52
442	20881197.27
443	20866500.38
444	20852570.19
445	20847290.56
446	20842703.27
447	20834015.88
448	20824689.85
449	20806610.72
450	20790568.59
451	20778377.18
452	20770371.64
453	20763001.43
454	20757132.54
455	20748878.94
456	20739213.75
457	20726966.3
458	20713043.9
459	20692042.57
460	20678356.7
461	20667491.36
462	20647355.59
463	20641309.27
464	20634191.99
465	20627898.95
466	20622042.23
467	20617300.69
468	20606308.61
469	20591863.57
470	20573690.02
471	20565270.66
472	20555292.88
473	20546801.39
474	20541941.16
475	20528766.99
476	20518075.24
477	20506422.37
478	20496188.64
479	20492161.47
480	20486473.01
481	20475929.63
482	20456108.34
483	20451944.87
