iter	RMSE
0	1928.139369
1	1920.386709
2	1911.915373
3	1904.362741
4	1895.897689
5	1887.116497
6	1879.758975
7	1871.101035
8	1862.983722
9	1854.490482
10	1848.786015
11	1841.137554
12	1833.418061
13	1824.893383
14	1817.134255
15	1809.127253
16	1800.764626
17	1793.850499
18	1786.748185
19	1780.069152
20	1773.376487
21	1767.439041
22	1760.161891
23	1755.48535
24	1750.109877
25	1743.129602
26	1737.261283
27	1729.988986
28	1723.594902
29	1718.190122
30	1713.189725
31	1706.333626
32	1699.981081
33	1694.398467
34	1688.996354
35	1683.119453
36	1676.720861
37	1670.905723
38	1665.423935
39	1659.319667
40	1654.426838
41	1649.172833
42	1644.480802
43	1639.661591
44	1633.799673
45	1628.286856
46	1622.639727
47	1617.449684
48	1612.144078
49	1606.992268
50	1601.882955
51	1596.990071
52	1591.367881
53	1586.990231
54	1582.143305
55	1576.865483
56	1572.572898
57	1568.106266
58	1563.425092
59	1558.741629
60	1554.531581
61	1550.375688
62	1545.719628
63	1542.31916
64	1537.895351
65	1533.831757
66	1530.112391
67	1524.967457
68	1520.959588
69	1517.447724
70	1513.556309
71	1510.703966
72	1507.345953
73	1504.320359
74	1500.179827
75	1496.759776
76	1493.018433
77	1489.423326
78	1484.937501
79	1481.381356
80	1477.588856
81	1473.550995
82	1470.229002
83	1466.622148
84	1463.476253
85	1460.187766
86	1456.195752
87	1453.199268
88	1449.081638
89	1445.928243
90	1442.724383
91	1439.663537
92	1436.089583
93	1432.752136
94	1429.760915
95	1427.301128
96	1424.329257
97	1421.395293
98	1418.586235
99	1415.308172
100	1412.167247
101	1409.409137
102	1406.788293
103	1403.620153
104	1400.356324
105	1398.275258
106	1396.083852
107	1396.083755
108	1393.203606
109	1390.054646
110	1387.323169
111	1384.918166
112	1381.925044
113	1378.828897
114	1376.887197
115	1374.842627
116	1372.049525
117	1369.35434
118	1366.951809
119	1364.298715
120	1361.903033
121	1358.898054
122	1356.901011
123	1354.658426
124	1352.23779
125	1350.078097
126	1347.966468
127	1345.326925
128	1343.265491
129	1341.436497
130	1339.858622
131	1337.613399
132	1335.1644
133	1332.937416
134	1330.583325
135	1328.531755
136	1326.770082
137	1324.231818
138	1322.772246
139	1321.428573
140	1319.552915
141	1317.422141
142	1315.633553
143	1313.591265
144	1312.157988
145	1310.490952
146	1308.44709
147	1307.036213
148	1305.71505
149	1303.472541
150	1302.174044
151	1300.230144
152	1298.297346
153	1296.648843
154	1294.73938
155	1293.087921
156	1291.888967
157	1290.492276
158	1289.280032
159	1287.461974
160	1286.047776
161	1284.07387
162	1281.988304
163	1280.650662
164	1278.414077
165	1277.284655
166	1275.473373
167	1273.435745
168	1271.033046
169	1269.921536
170	1268.608241
171	1266.873675
172	1265.427891
173	1264.179574
174	1263.148268
175	1261.615101
176	1260.684296
177	1258.692599
178	1257.123147
179	1255.540989
180	1254.708736
181	1253.497558
182	1251.933161
183	1250.837366
184	1249.826685
185	1248.481085
186	1247.200476
187	1246.24883
188	1245.183324
189	1243.434642
190	1242.647485
191	1242.160554
192	1240.899672
193	1239.391407
194	1237.98031
195	1236.675999
196	1235.375005
197	1234.473409
198	1232.979479
199	1231.76724
200	1230.376256
201	1228.952724
202	1228.051889
203	1227.276764
204	1226.679152
205	1225.836692
206	1224.456076
207	1223.327434
208	1222.31045
209	1221.220337
210	1220.529148
211	1219.314008
212	1218.299201
213	1217.711234
214	1216.887112
215	1215.435886
216	1214.393532
217	1212.833635
218	1211.96248
219	1211.53931
220	1210.647595
221	1209.444142
222	1208.279495
223	1207.713987
224	1206.769797
225	1205.806232
226	1204.837594
227	1203.894745
228	1202.705043
229	1201.434037
230	1200.599541
231	1199.614302
232	1198.622846
233	1197.62409
234	1196.302948
235	1195.222992
236	1194.392911
237	1193.193484
238	1192.151381
239	1191.296611
240	1190.280012
241	1189.29114
242	1188.110178
243	1187.094911
244	1186.599063
245	1185.46894
246	1184.830372
247	1184.019734
248	1182.988538
249	1182.514173
250	1181.820392
251	1180.93007
252	1180.040912
253	1178.917421
254	1177.907614
255	1176.984952
256	1176.213316
257	1175.175403
258	1174.379413
259	1173.365501
260	1172.509536
261	1171.661203
262	1170.629768
263	1169.649893
264	1168.637304
265	1168.089828
266	1167.131878
267	1166.596894
268	1165.751312
269	1164.647117
270	1163.99871
271	1163.276816
272	1162.23567
273	1161.54187
274	1161.002348
275	1160.362979
276	1159.566948
277	1158.409422
278	1157.371271
279	1156.631687
280	1155.713697
281	1154.870381
282	1153.550065
283	1152.602553
284	1152.093946
285	1151.102422
286	1150.23488
287	1149.577389
288	1149.089622
289	1148.287747
290	1147.804543
291	1146.952525
292	1146.250842
293	1145.566932
294	1144.960798
295	1144.283112
296	1143.392803
297	1143.033888
298	1142.331727
299	1141.960571
300	1141.632443
301	1141.078247
302	1140.437991
303	1139.463182
304	1138.782203
305	1138.405017
306	1137.845072
307	1137.36454
308	1136.858594
309	1136.322313
310	1135.876846
311	1135.403299
312	1134.827882
313	1134.058901
314	1133.541092
315	1132.75601
316	1132.034861
317	1131.589995
318	1131.102207
319	1130.408769
320	1129.89616
321	1129.591424
322	1129.240938
323	1129.0148
324	1128.610485
325	1128.362304
326	1127.986767
327	1127.568159
328	1127.019453
329	1126.575308
330	1125.696966
331	1125.270674
332	1124.754695
333	1124.054227
334	1123.623623
335	1122.868377
336	1122.217054
337	1121.45297
338	1120.740718
339	1120.208152
340	1119.623067
341	1119.120221
342	1118.647046
343	1117.933589
344	1117.168255
345	1117.036528
346	1116.804065
347	1116.145539
348	1115.821213
349	1115.152964
350	1114.622219
351	1114.149372
352	1113.470005
353	1112.698968
354	1112.056343
355	1111.61644
356	1111.110637
357	1110.543039
358	1110.210755
359	1109.666404
360	1109.109222
361	1108.732972
362	1108.341075
363	1107.857766
364	1107.060115
365	1106.770751
366	1106.654537
367	1106.51407
368	1106.083061
369	1105.392421
370	1104.79292
371	1104.521564
372	1104.196578
373	1103.644758
374	1102.907073
375	1102.519835
376	1102.107022
377	1101.673023
378	1101.209887
379	1100.905621
380	1100.609603
381	1100.377712
382	1100.022531
383	1099.547413
384	1099.534077
385	1099.04414
386	1098.523389
387	1097.76322
388	1097.278248
389	1096.319685
390	1095.847205
391	1095.480233
392	1095.394418
393	1094.861825
394	1094.250855
395	1093.744996
396	1093.188909
397	1092.667511
398	1092.210574
399	1091.886469
400	1091.392206
401	1091.137419
402	1090.727858
403	1090.11716
404	1089.210906
405	1088.65487
406	1088.19309
407	1087.787292
408	1087.304497
409	1086.714324
410	1086.255209
411	1085.893628
412	1085.344042
413	1085.043813
414	1084.815616
415	1084.434282
416	1084.223437
417	1083.737381
418	1083.125066
419	1082.775067
420	1082.430995
421	1081.84428
422	1081.26041
423	1081.00263
424	1080.669964
425	1080.285077
426	1079.838371
427	1079.539608
428	1079.19849
429	1078.35705
430	1077.966644
431	1077.763474
432	1077.297408
433	1076.819873
434	1076.399819
435	1076.152419
436	1075.883027
437	1075.155724
438	1074.792594
