iter	Passed	Remaining
0	25	25161
1	55	27739
2	93	31132
3	129	32315
4	165	32909
5	203	33785
6	247	35164
7	274	34065
8	312	34440
9	337	33395
10	376	33845
11	406	33492
12	454	34503
13	495	34864
14	516	33945
15	552	34005
16	585	33861
17	630	34373
18	671	34651
19	709	34777
20	757	35321
21	794	35321
22	832	35371
23	873	35536
24	906	35370
25	943	35329
26	973	35070
27	1009	35039
28	1053	35269
29	1094	35373
30	1126	35206
31	1164	35219
32	1199	35160
33	1232	35018
34	1265	34889
35	1306	34985
36	1339	34857
37	1386	35111
38	1428	35190
39	1460	35062
40	1505	35220
41	1535	35026
42	1565	34835
43	1594	34645
44	1630	34596
45	1665	34548
46	1701	34495
47	1726	34238
48	1756	34089
49	1786	33938
50	1820	33868
51	1865	34018
52	1887	33732
53	1923	33695
54	1953	33562
55	1980	33393
56	2011	33278
57	2055	33381
58	2090	33343
59	2120	33214
60	2161	33265
61	2207	33399
62	2262	33646
63	2298	33612
64	2349	33792
65	2382	33720
66	2429	33827
67	2471	33879
68	2523	34049
69	2568	34127
70	2606	34108
71	2646	34111
72	2698	34269
73	2740	34294
74	2800	34545
75	2839	34521
76	2881	34544
77	2920	34515
78	2952	34417
79	3000	34503
80	3036	34449
81	3082	34512
82	3118	34449
83	3148	34329
84	3179	34229
85	3224	34267
86	3257	34186
87	3294	34138
88	3329	34083
89	3372	34104
90	3414	34104
91	3455	34107
92	3489	34028
93	3530	34032
94	3569	34006
95	3619	34086
96	3656	34041
97	3696	34022
98	3733	33980
99	3766	33898
100	3802	33848
101	3830	33723
102	3862	33637
103	3900	33606
104	3936	33550
105	3967	33463
106	3993	33326
107	3993	32983
108	4027	32924
109	4062	32872
110	4112	32939
111	4156	32956
112	4182	32830
113	4221	32810
114	4260	32784
115	4292	32713
116	4335	32716
117	4365	32628
118	4394	32536
119	4433	32512
120	4472	32490
121	4509	32450
122	4548	32431
123	4579	32351
124	4616	32318
125	4645	32223
126	4690	32241
127	4744	32323
128	4794	32372
129	4818	32246
130	4863	32265
131	4906	32266
132	4955	32301
133	5003	32337
134	5047	32342
135	5084	32298
136	5124	32278
137	5166	32273
138	5205	32245
139	5243	32208
140	5312	32366
141	5344	32291
142	5376	32220
143	5403	32122
144	5443	32095
145	5487	32095
