iter	AUC	Logloss
0	0.7344110855	0.6857796243
1	0.7825515649	0.678513673
2	0.8251572828	0.6712555945
3	0.839691009	0.6641294855
4	0.8569722067	0.6571056479
5	0.9022457593	0.6502206336
6	0.9041172255	0.6436112884
7	0.9106076292	0.6371180296
8	0.911802182	0.6307229838
9	0.9073425181	0.6244646012
10	0.9018077566	0.6184583936
11	0.9068248786	0.6121997679
12	0.9095325317	0.6062943439
13	0.9066656048	0.6004527721
14	0.904913594	0.5946206328
15	0.9114438162	0.5888358007
16	0.9130365533	0.5833793024
17	0.9142311062	0.5779485044
18	0.9129569165	0.5725790322
19	0.9183722227	0.5671596049
20	0.92147806	0.5619138566
21	0.9235486183	0.5569580876
22	0.9235486183	0.5519662906
23	0.9268137294	0.5468578808
24	0.9298399299	0.5420303143
25	0.9278490085	0.5372130501
26	0.9289639245	0.532492269
27	0.9283268297	0.5277757036
28	0.9282471928	0.5229671338
29	0.9288842876	0.5184381884
30	0.9274508242	0.5137278881
31	0.9290435614	0.5090194663
32	0.9339014096	0.5045417557
33	0.9343792307	0.5003501747
34	0.9367683364	0.4961071347
35	0.9380425261	0.4918846015
36	0.9381221629	0.4878278199
37	0.9377239787	0.48370628
38	0.9374054312	0.4798474469
39	0.9370868838	0.4761148367
40	0.9376443418	0.4721255402
41	0.9370868838	0.4682744551
42	0.9358126941	0.4646735535
43	0.9362905153	0.4607485999
44	0.9363701521	0.4569477109
45	0.9360516047	0.4534671962
46	0.9389185315	0.4494892463
47	0.9425818269	0.4459431211
48	0.9428207374	0.442585049
49	0.9467229434	0.439042221
50	0.9475989488	0.4354856197
51	0.9482360436	0.4323316028
52	0.9475193119	0.4291699415
53	0.9479971331	0.42573317
54	0.9494305965	0.4221977203
55	0.9508640599	0.4190864161
56	0.9518197022	0.4159474758
57	0.9525364339	0.4128276985
58	0.9573146452	0.4098314838
59	0.9564386398	0.4067739886
60	0.9558811818	0.4035674729
61	0.9562793661	0.400747709
62	0.9559608187	0.3980165207
63	0.9557219081	0.3950517561
64	0.9561200924	0.3919741528
65	0.9560404555	0.3891271926
66	0.9561200924	0.3864125279
67	0.9564386398	0.3838976771
68	0.9556422712	0.3812310793
69	0.955801545	0.3782983016
70	0.9554829975	0.3757989087
71	0.9557219081	0.3733327396
72	0.9547662658	0.3707790495
73	0.9544477184	0.368425814
74	0.9537309867	0.3659512053
75	0.9546069921	0.3636416978
76	0.9542088078	0.3611997181
77	0.9560404555	0.3588768349
78	0.9560404555	0.3567271189
79	0.955801545	0.3544416934
80	0.9557219081	0.3523867426
81	0.9553237238	0.3501818049
82	0.955244087	0.3481120615
83	0.9563590029	0.3454835492
84	0.9571553715	0.343122094
85	0.9565182767	0.3410586027
86	0.9573146452	0.3389451271
87	0.9573146452	0.3367330187
88	0.9567571872	0.3344269238
89	0.9573942821	0.3323815642
90	0.9576331926	0.3302542136
91	0.9573146452	0.32810218
92	0.9579517401	0.3261512856
93	0.9580313769	0.3240398412
94	0.9581110138	0.321782871
95	0.9585888349	0.3199052691
96	0.9585091981	0.3179720864
97	0.9585091981	0.316029464
98	0.9585888349	0.314202608
99	0.9593852035	0.3122657946
