iter	Passed	Remaining
0	2	252
1	4	242
2	7	240
3	9	229
4	11	226
5	14	223
6	16	217
7	18	216
8	21	214
9	23	212
10	25	209
11	28	205
12	30	202
13	32	200
14	34	197
15	36	193
16	39	191
17	41	188
18	43	186
19	45	183
20	48	181
21	50	180
22	53	178
23	55	175
24	57	173
25	60	171
26	62	168
27	64	166
28	66	163
29	68	160
30	71	159
31	73	156
32	76	155
33	78	152
34	80	150
35	83	148
36	85	145
37	87	142
38	89	139
39	91	137
40	93	135
41	95	132
42	98	130
43	100	127
44	101	124
45	104	122
46	106	120
47	109	118
48	111	116
49	114	114
50	115	111
51	118	108
52	119	106
53	122	104
54	124	101
55	126	99
56	129	97
57	131	95
58	133	92
59	135	90
60	137	87
61	139	85
62	141	83
63	143	80
64	146	78
65	148	76
66	150	74
67	153	72
68	155	69
69	157	67
70	159	65
71	161	62
72	163	60
73	165	58
74	167	55
75	169	53
76	171	51
77	174	49
78	176	46
79	178	44
80	180	42
81	183	40
82	185	37
83	187	35
84	189	33
85	191	31
86	193	28
87	195	26
88	197	24
89	200	22
90	202	20
91	204	17
92	206	15
93	208	13
94	210	11
95	213	8
96	215	6
97	217	4
98	219	2
99	221	0
