licensePlate,model,vehicleRouteType,tripId,lat,lon,shortName,From,To
V1440,Ganz csuklós,TRAM,BKK_C218464,47.435802,19.03671,47,Városház tér,Deák Ferenc tér M
MOS269,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,,47.437767,19.140614,,,
MPW614,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.427826,19.157309,,,
V1581,TW 6000,TRAM,,47.47032,19.092775,,,
MPW613,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_MPW613-1Oy2HblBQ52Dcr7eE1nMnQ,47.46439,19.126987,,,
MOS268,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,BKK_C3476092,47.503735,19.119186,956,"Pécel, Kun József utca",Pesthidegkút-Hűvösvölgy
LOV873,VanHool AG318 csuklós autóbusz,BUS,,47.42719,19.159859,,,
V1580,TW 6000,TRAM,,47.47009,19.09205,,,
V1441,Ganz csuklós,TRAM,,47.47,19.024511,,,
BPO221,Ikarus 412-es típusú autóbusz,BUS,,47.432095,19.185476,,,
LOV868,VanHool AG318 csuklós autóbusz,BUS,,47.426712,19.161186,,,
BPO220,Ikarus 412-es típusú autóbusz,BUS,,47.428852,19.156158,,,
LOV869,VanHool AG318 csuklós autóbusz,BUS,BKK_C3551376,47.444324,19.092836,923,Békásmegyer H,Dél-pesti autóbuszgarázs
MPW619,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.42804,19.157066,,,
MOS275,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,,47.489635,19.175848,,,
V1448,Ganz csuklós,TRAM,BKK_C363503,47.465984,19.022045,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2209,CAF 5 modulos szerelvény,TRAM,BKK_C3495415,47.443867,19.096308,3,Mexikói út M,Gubacsi út / Határ út
MOS274,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,,47.506817,19.11468,,,
MPW621,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_MPW621-RTKkh4bMTJm3FQ1-N3o9sg,47.427574,19.157553,,,
MOS276,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,,47.507748,19.113335,,,
MPW620,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.428005,19.157084,,,
V1583,TW 6000,TRAM,,47.4703,19.092678,,,
V1582,TW 6000,TRAM,BKK_C2910710406,47.48235,19.129452,28A,Új köztemető (Kozma u.),Blaha Lujza tér M
MOS273,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,BKK_MOS273-SZ5uAkpnT7S-Hnc1AyYuzg,47.419563,19.06398,38A,"Lakihegy, Cseresznyés utca","Csepel, Szent Imre tér"
V2207,CAF 5 modulos szerelvény,TRAM,BKK_C349543652,47.517487,19.115465,3,Mexikói út M,Gubacsi út / Határ út
V1585,TW 6000,TRAM,BKK_C348212128,47.47812,19.087044,24,Keleti pályaudvar M,Közvágóhíd H
MPW617,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.427853,19.157248,,,
V1584,TW 6000,TRAM,BKK_C2910710405,47.474895,19.178207,28A,Új köztemető (Kozma u.),Blaha Lujza tér M
LOV881,VanHool AG318 csuklós autóbusz,BUS,BKK_C36721233,47.40442,19.18584,950,"Rákospalota, Kossuth utca",Pestszentimre vasútáll.
NBW003,MERCEDES Conecto szóló (BKV),BUS,BKK_C3710643,47.48098,19.244879,990,Rákoskert,Normafa
MPW622,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.427776,19.157404,,,
V1450,Ganz csuklós,TRAM,BKK_C218463741J,47.462833,19.042358,47,Városház tér,Deák Ferenc tér M
V1589,TW 6000,TRAM,,47.490726,19.0892,,,
MPW624,VanHool A330 CNG típusú szóló autóbusz,BUS,BKK_MPW624-oUiTGLoNQJ2GsWTOmZs0og,47.42921,19.156517,,,
NBW005,MERCEDES Conecto szóló (BKV),BUS,,47.498714,19.23656,,,
V1591,TW 6000,TRAM,,47.49135,19.138489,,,
MPW623,VanHool A330 CNG típusú szóló autóbusz,BUS,,47.427624,19.157478,,,
V2210,CAF 5 modulos szerelvény,TRAM,,47.503044,19.136652,,,
