licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
V2112,CAF 9 modulos szerelvény,TRAM,47.44047,19.035275,,,
LOV871,VanHool AG318 csuklós autóbusz,BUS,47.458138,19.143267,50,Lajosmizsei sorompó,Határ út M
LOV873,VanHool AG318 csuklós autóbusz,BUS,47.47953,19.068014,54,"Péterimajor, Víztorony tér",Boráros tér H
V1441,Ganz csuklós,TRAM,47.46777,19.075682,2,Jászai Mari tér,Közvágóhíd H
LOV868,VanHool AG318 csuklós autóbusz,BUS,47.42421,19.147793,123,"Soroksár, IKEA áruház",Határ út M
V4333,Tátra T5C5K,TRAM,47.47725,19.047316,61,Móricz Zs. körtér M,Hűvösvölgy
LOV869,VanHool AG318 csuklós autóbusz,BUS,47.479477,19.067286,54,"Péterimajor, Víztorony tér",Boráros tér H
V2209,CAF 5 modulos szerelvény,TRAM,47.48251,19.128912,3,Mexikói út M,Gubacsi út / Határ út
V1448,Ganz csuklós,TRAM,47.491364,19.061548,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2208,CAF 5 modulos szerelvény,TRAM,47.516914,19.116568,3,Mexikói út M,Gubacsi út / Határ út
V2205,CAF 5 modulos szerelvény,TRAM,47.46385,19.109505,3,Mexikói út M,Gubacsi út / Határ út
V1444,Ganz csuklós,TRAM,47.476112,19.069172,2,Jászai Mari tér,Közvágóhíd H
V2204,CAF 5 modulos szerelvény,TRAM,47.494667,19.140406,3,Mexikói út M,Gubacsi út / Határ út
V1443,Ganz csuklós,TRAM,47.479916,19.051556,49,Kelenföld vasútállomás M,Deák Ferenc tér M
LOV875,VanHool AG318 csuklós autóbusz,BUS,47.478962,19.068178,,,
V1445,Ganz csuklós,TRAM,47.48472,19.052942,47,Városház tér,Deák Ferenc tér M
V2206,CAF 5 modulos szerelvény,TRAM,47.47729,19.12113,3,Mexikói út M,Gubacsi út / Határ út
V2212,CAF 5 modulos szerelvény,TRAM,47.44536,19.09912,3,Mexikói út M,Gubacsi út / Határ út
LOV881,VanHool AG318 csuklós autóbusz,BUS,47.467064,19.154013,,,
V1451,Ganz csuklós,TRAM,47.470898,19.093086,,,
V1450,Ganz csuklós,TRAM,47.48046,19.052044,47,Városház tér,Deák Ferenc tér M
