iter	RMSE
0	5004382.591
1	4810091.623
2	4628787.178
3	4449796.166
4	4283834.578
5	4121976.744
6	3967962.755
7	3823672.558
8	3686272.423
9	3555844.813
10	3430211.578
11	3313311.603
12	3207378.841
13	3107390.113
14	3006447.849
15	2912202.049
16	2822498.689
17	2738954.443
18	2660436.59
19	2580497.119
20	2508026.199
21	2440016.035
22	2371880.512
23	2306321.199
24	2245644.717
25	2188614.755
26	2132041.001
27	2082784.193
28	2034044.128
29	1988050.757
30	1942369.615
31	1901314.866
32	1860870.814
33	1820217.504
34	1782869.834
35	1749864.352
36	1717892.396
37	1685003.163
38	1656549.723
39	1628915.347
40	1602491.38
41	1576386.095
42	1551649.604
43	1528566.272
44	1507120.577
45	1487200.998
46	1468922.879
47	1449695.856
48	1432195.706
49	1415644.159
50	1400991.896
51	1386261.827
52	1373455.912
53	1358860.212
54	1344310.357
55	1330543.607
56	1317063.808
57	1307542.881
58	1296932.28
59	1286113.236
60	1275691.507
61	1264699.142
62	1253745.771
63	1244319.514
64	1233897.969
65	1225328.003
66	1218064.396
67	1209933.67
68	1202046.37
69	1194502.447
70	1186497.051
71	1179858.529
72	1172447.315
73	1164310.989
74	1157760.909
75	1151159.531
76	1145549.422
77	1140102.651
78	1133699.004
79	1127800.674
80	1123170.197
81	1118075.223
82	1112627.774
83	1108237.474
84	1103752.953
85	1099713.369
86	1095455.879
87	1091454.749
88	1087146.842
89	1083229.66
90	1079100.797
91	1075326.056
92	1071730.638
93	1068296.881
94	1064901.834
95	1061326.929
96	1058262.87
97	1055566.531
98	1052704.487
99	1049650.292
100	1047005.802
101	1044289.303
102	1042344.092
103	1039386.337
104	1037038.987
105	1034027.322
106	1030987.8
107	1028376.544
108	1026023.858
109	1023432.216
110	1021485.04
111	1019146.787
112	1016890.501
113	1014898.768
114	1012482.349
115	1010286.958
116	1008125.014
117	1005495.514
118	1003633.39
119	1001901.497
120	999597.3823
121	997301.67
122	995392.2102
123	993380.5642
124	992144.7304
125	989999.0652
126	988270.7075
127	986381.3409
128	984310.4368
129	982477.9602
130	980593.0565
131	979468.3009
132	978107.438
133	976422.0479
134	975239.4235
135	974122.0215
136	972542.7186
137	970488.8184
138	968587.2727
139	966686.0791
140	965043.8505
141	963345.6125
142	961692.6025
143	960300.7621
144	958934.1009
145	956840.0175
146	955383.5787
147	954116.277
148	953081.121
149	951446.5658
150	949903.8575
151	948292.4087
152	947114.1724
153	945823.4271
154	944368.2929
155	942698.5011
156	941436.612
157	940350.3091
158	939124.0375
159	938153.2265
160	937089.3961
161	936163.3005
162	935114.4997
163	933867.4825
164	932392.1787
165	931698.4331
166	930499.6363
167	929302.5977
168	928331.7249
169	927305.3384
170	925767.2111
171	924589.5057
172	923498.3856
173	922574.3649
174	921578.4834
175	920619.2021
176	919444.4635
177	918498.1483
178	917516.6574
179	915902.4955
180	914707.5986
181	913531.2327
182	911672.7021
183	910789.8019
184	909586.3053
185	908768.2368
186	907586.0118
187	906996.3464
188	905778.5326
189	904649.5664
190	903168.208
191	901667.1781
192	900397.4888
193	899400.0523
194	898412.9374
195	896964.2816
196	895366.5899
197	894140.2447
198	893028.9718
199	891583.3075
200	890592.8892
201	889718.446
202	888894.9432
203	887846.6198
204	886755.2909
205	885345.2111
206	883973.0829
207	883227.951
208	881918.288
209	881477.0961
210	880633.9873
211	879604.4532
212	878712.7288
213	877630.5561
214	877043.6479
215	876352.5467
216	875762.3819
217	874906.3468
218	874188.5947
219	873109.5433
220	872137.8755
221	871138.0278
222	869929.0382
223	869015.7942
224	867725.4022
225	866573.9736
226	866001.7378
227	865223.1258
228	864374.7976
229	863259.3645
230	862340.1532
231	861258.6489
232	860534.2483
233	859985.6773
234	858973.7702
235	857575.9374
236	856105.3062
237	855073.2796
238	854332.5001
239	853420.318
240	852693.0019
241	851955.4217
242	851123.18
243	849949.2077
244	848722.6375
245	847677.6261
246	846957.5249
247	845841.7946
248	845139.2274
249	844023.62
250	843335.3994
251	842602.0372
252	841991.9537
253	841067.8041
254	840294.0444
255	839179.2424
256	838216.7057
257	836989.1385
258	836094.3689
259	835562.6091
260	835000.027
261	834292.3276
262	833681.7849
263	833055.6719
264	832408.1731
265	831732.8307
266	830868.2125
267	830188.3945
268	829151.3931
269	828378.7573
270	827453.3862
271	826470.51
272	825401.4674
273	824813.5843
274	824170.1483
275	823724.0313
276	822928.2116
277	822406.1501
278	821366.7754
279	820465.1389
280	819496.7096
281	818867.7259
282	818178.1904
283	817251.8915
284	816527.7093
285	815275.0026
286	814714.0403
287	813983.5342
288	813426.5588
289	812408.4277
290	811542.8725
291	810961.6292
292	810210.0579
293	809188.2357
294	808643.6945
295	808304.748
296	807723.5715
297	806830.8696
298	806350.576
299	805363.5437
300	804800.628
301	803838.2174
302	803306.9817
303	802769.8516
304	802103.8022
305	801476.6622
306	801034.938
307	800153.3269
308	799247.6398
309	798495.568
310	797760.0366
311	797139.5805
312	796341.0065
313	795714.278
314	795109.4167
315	794417.3279
316	793833.9605
317	793434.3401
318	792747.5311
319	792364.6277
320	791765.5728
321	790930.1026
322	790184.4054
323	789675.9012
324	789009.6405
325	788598.1933
326	787901.1568
327	787270.5709
328	786390.6196
329	785753.7804
330	785319.0387
331	784697.648
332	783992.3526
333	783555.1382
334	782824.248
335	782164.2227
336	781775.8437
337	781097.5457
338	780408.8868
339	779875.0904
340	779409.4339
341	779007.3024
342	778136.6689
343	777492.4042
344	777039.465
345	776634.0438
346	775917.0366
347	775466.8889
348	775058.7746
349	774548.9917
350	774184.7185
351	773718.7583
352	773167.454
353	772778.9305
354	772095.405
355	771525.2989
356	770720.822
357	770408.8554
358	770005.4417
359	769498.2876
360	769082.5547
361	768395.9565
362	768004.2322
363	767310.2139
364	766653.8627
365	766045.4624
366	765750.791
367	764978.7341
368	764340.4195
369	763764.5278
370	763088.1783
371	762488.2841
372	761756.6096
373	761324.2431
374	760860.219
375	760229.5533
376	759772.046
377	759184.7339
378	758454.4193
379	757915.8371
380	757434.2433
381	757064.5238
382	756539.7057
383	756028.086
384	755482.122
385	755238.7551
386	754917.6435
387	754548.446
388	753896.8003
389	753360.7727
390	752759.2131
391	752482.356
392	752136.1326
393	751700.4906
394	751284.7971
395	750617.5602
396	750185.6696
397	749901.6313
398	749443.12
399	749104.501
400	748729.395
401	748273.5918
402	747883.9359
403	747405.5367
404	746963.2234
405	746582.2852
406	746033.1197
407	745546.9254
408	745132.3633
409	744554.0238
410	744239.2063
411	743524.0511
412	743208.1556
413	742563.8051
414	742219.8901
415	741932.7729
416	741551.3255
417	741220.9242
418	740789.4991
419	740239.6094
420	739759.0025
421	739313.4326
422	738945.1483
423	738364.6654
424	737779.2672
425	737047.4077
426	736760.0797
427	736298.9877
428	735950.6466
429	735643.3947
430	735226.4859
431	734833.5661
432	734447.1066
433	734050.8322
434	733627.4003
435	733247.7105
436	732431.751
437	732133.0301
438	731744.8254
439	731117.3426
440	730833.9103
441	730409.5
442	730008.4004
443	729565.8606
444	729275.4481
445	728843.6115
446	728571.2637
447	728336.0795
448	727847.3415
449	727292.5251
450	726966.2419
451	726710.5526
452	726370.4286
453	726051.3015
454	725832.5121
455	725639.0322
456	725182.5087
457	724777.8758
458	724204.4909
459	723818.538
460	723334.0337
461	723114.8036
462	722728.6658
463	722406.1183
464	722116.4844
465	721736.4574
466	721536.3245
467	721166.0666
468	720717.938
469	720281.7694
470	719877.355
471	719510.3494
472	719124.6541
473	718689.5306
474	718306.7568
475	717952.6893
476	717621.2241
477	717029.892
478	716737.2253
479	716364.8607
480	716089.5722
481	715699.649
482	715338.1865
483	715045.562
484	714614.8144
485	714377.7433
486	714088.6721
487	713669.3174
488	713366.385
489	712884.5114
490	712617.2109
491	712320.7231
492	712021.4086
493	711691.6906
494	711379.8291
495	711057.4433
496	710771.6715
497	710406.5663
498	710172.9582
499	709734.1013
500	709493.7663
501	709295.2632
502	709005.1109
503	708666.8571
504	708482.8113
505	708149.973
506	707773.4746
507	707556.36
508	707135.9808
509	706629.6302
510	706408.0202
511	706079.1282
512	705864.3069
513	705459.6222
514	705121.8109
515	704605.9355
516	704125.4438
517	703840.9213
518	703349.6655
519	702965.1149
520	702532.5931
521	702177.3159
522	701877.3571
523	701451.6385
524	700958.7988
525	700512.1837
526	700104.8464
527	699753.9073
528	699450.5142
529	699055.4201
530	698755.8613
531	698493.5989
532	698288.3006
533	697805.0624
534	697530.6475
535	697082.3036
536	696756.5646
537	696464.4484
538	696035.9171
539	695807.2297
540	695474.1819
541	695052.2205
542	694701.8
543	694344.8187
544	694091.4366
545	693878.9193
546	693564.2479
547	693319.2472
548	693019.083
549	692806.0323
550	692531.6885
551	692088.6976
552	691776.4289
553	691265.1921
554	691028.0979
555	690782.6101
556	690585.0851
557	690267.1405
558	690040.3198
559	689703.6793
560	689438.0654
561	689200.0866
562	688954.2624
563	688716.4978
564	688192.982
565	687943.693
566	687565.0488
567	687174.3785
568	686926.538
569	686556.0915
570	686074.5232
571	685677.2563
572	685385.47
573	685169.3481
574	685052.692
575	684858.2694
576	684629.8295
577	684426.9699
578	684229.0354
579	683920.202
580	683612.1709
581	683323.4287
582	683093.2568
583	682882.2055
584	682623.427
585	682368.6786
586	682189.9005
587	681993.0499
588	681786.2852
589	681598.4404
590	681326.9912
591	680979.7567
592	680578.0734
593	680268.9484
594	680027.5667
595	679826.1612
596	679469.12
597	679194.486
598	678993.8286
599	678741.298
600	678513.7204
601	678247.4754
602	677966.8723
603	677664.5887
604	677508.1286
605	677269.409
606	676874.3459
607	676742.0454
608	676276.9896
609	676097.5872
610	675641.4914
611	675279.7564
612	674979.6956
613	674819.5089
614	674453.0769
615	674076.4623
616	673848.0813
617	673606.8644
618	673434.7423
619	673293.3371
620	673104.3816
621	672968.0767
622	672791.73
623	672548.9357
624	672384.4082
625	672044.5691
626	671500.386
627	671292.6898
628	670921.5185
629	670757.9044
630	670506.2931
