link,address,geo_location,services,open_hours,prices
https://holtankoljak.net/oranges_oil_company_ozd_malomut1,"Ózd, Malom út 1.","48.21722412,20.27142906","['tankoló automata', ' bankkártya elfogadás', '']","['Hétfő:0-24 óráig', '\t\t\tKedd:0-24 óráig', '\t\t\tSzerda:0-24 óráig', '\t\t\tCsütörtök:0-24 óráig', '\t\t\tPéntek:0-24 óráig', '\t\t\tSzombat:0-24 óráig', '\t\t\tVasárnap:0-24 óráig']","{'95-ös Benzin E10': '625.9,- Ft', 'Gázolaj': '699.9,- Ft'}"
https://holtankoljak.net/mol_gorbehaza_m3iidel1825-oskmkohrsz04376,"Görbeháza, M3 II dél (182,5-ös km kő, hrsz: 0437/6)","47.80086517,21.19837379","['Wifi', ' HU-GO feltöltés', ' UTA-kártya', ' büfé', ' bankkártya elfogadás', ' WC', ' pékség', ' hűségkártya', ' mobiltelefon egyenlegfeltöltés', ' nagynyomású kútoszlop', ' PB-gáz', ' autópálya-matrica', ' shop', ' Gyógyszer', '']","['Hétfő:0-24 óráig', '\t\t\tKedd:0-24 óráig', '\t\t\tSzerda:0-24 óráig', '\t\t\tCsütörtök:0-24 óráig', '\t\t\tPéntek:0-24 óráig', '\t\t\tSzombat:0-24 óráig', '\t\t\tVasárnap:0-24 óráig']","{'Lpg': '400.0,- Ft', '95-ös Benzin E10': '685.0,- Ft', 'Gázolaj': '746.0,- Ft', '100-As Benzin E5': '722.0,- Ft', 'Prémium Gázolaj': '801.0,- Ft', 'Gázolaj - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft', '95-Ös Benzin E10 - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft'}"
https://holtankoljak.net/mol_szazhalombatta_bekotout,"Százhalombatta, Bekötő út  ","47.31699753,18.90074539","['UTA-kártya', ' mobiltelefon egyenlegfeltöltés', ' hűségkártya', ' keréknyomás mérő', ' AdBlue kannás', ' kávé', ' bankkártya elfogadás', ' gépi autómosó', ' autópálya-matrica', ' PB-gáz', ' shop', ' kenőolaj', ' nagynyomású kútoszlop', ' Wifi', '']","['Hétfő:06:00 - 20:00', '\t\t\tKedd:06:00 - 20:00', '\t\t\tSzerda:06:00 - 20:00', '\t\t\tCsütörtök:06:00 - 20:00', '\t\t\tPéntek:06:00 - 20:00', '\t\t\tSzombat:06:00 - 20:00', '\t\t\tVasárnap:06:00 - 20:00']","{'95-ös Benzin E10': '665.0,- Ft', 'Gázolaj': '726.0,- Ft', '100-As Benzin E5': '702.0,- Ft', 'Prémium Gázolaj': '781.0,- Ft', 'Gázolaj - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft', '95-Ös Benzin E10 - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft'}"
https://holtankoljak.net/mol_budapest_gyaliut38236441,"Budapest IX, Gyáli út 38236/441","47.45983887,19.10950851","['shop', ' PB-gáz', ' nagynyomású kútoszlop', ' mobiltelefon egyenlegfeltöltés', ' kézi autómosó', ' keréknyomás mérő', ' kenőolaj', ' kávé', ' hűségkártya', ' gépi autómosó', ' DKV-kártya', ' bankkártya elfogadás', ' autópálya-matrica', ' AdBlue kannás', ' Wifi', '']","['Hétfő:06:00 - 21:00', '\t\t\tKedd:06:00 - 21:00', '\t\t\tSzerda:06:00 - 21:00', '\t\t\tCsütörtök:06:00 - 21:00', '\t\t\tPéntek:06:00 - 21:00', '\t\t\tSzombat:06:00 - 21:00', '\t\t\tVasárnap:06:00 - 21:00']","{'100-As Benzin E5': '702.0,- Ft', 'Gázolaj': '726.0,- Ft', '95-ös Benzin E10': '665.0,- Ft', 'Prémium Gázolaj': '781.0,- Ft'}"
https://holtankoljak.net/mol_szolnok_toszegiut18a,"Szolnok, Tószegi út 18/A","47.15346909,20.16919327","['kenőolaj', ' UTA-kártya', ' kávé', ' bankkártya elfogadás', ' hűségkártya', ' mobiltelefon egyenlegfeltöltés', ' kézi autómosó', ' autópálya-matrica', ' shop', ' DKV-kártya', '']","['Hétfő:05:00 - 21:00', '\t\t\tKedd:05:00 - 21:00', '\t\t\tSzerda:05:00 - 21:00', '\t\t\tCsütörtök:05:00 - 21:00', '\t\t\tPéntek:05:00 - 21:00', '\t\t\tSzombat:06:00 - 18:00', '\t\t\tVasárnap:06:00 - 18:00']","{'95-ös Benzin E10': '665.0,- Ft', 'Prémium Gázolaj': '781.0,- Ft', 'Lpg': '380.0,- Ft', 'Gázolaj': '726.0,- Ft', '100-As Benzin E5': '702.0,- Ft', 'Gázolaj - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft', '95-Ös Benzin E10 - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft'}"
https://holtankoljak.net/omv_domsod_tassiut16,"Dömsöd, Tassi út 16.","47.08214188,19.00640869","['autópálya-matrica', ' bankkártya elfogadás', ' AdBlue kannás', ' DKV-kártya', ' HU-GO feltöltés', ' hűségkártya', ' kávé', ' kenőolaj', ' keréknyomás mérő', ' kézi autómosó', ' mobiltelefon egyenlegfeltöltés', ' porszívó', ' shop', '']","['Hétfő:06:00 - 21:00', '\t\t\tKedd:06:00 - 21:00', '\t\t\tSzerda:06:00 - 21:00', '\t\t\tCsütörtök:06:00 - 21:00', '\t\t\tPéntek:06:00 - 21:00', '\t\t\tSzombat:06:00 - 21:00', '\t\t\tVasárnap:06:00 - 21:00']","{'95-ös Benzin E10': 'Nem ismert', '100-As Benzin E5': 'Nem ismert', 'Gázolaj': 'Nem ismert', 'Prémium Gázolaj': 'Nem ismert'}"
https://holtankoljak.net/hatar_kut_hungary_kft__hegyeshalom_mikloshalmiut1,"Hegyeshalom, Miklóshalmi út 1.","47.92697525,17.11327744","['autópálya-matrica nemzetközi', ' autópálya-matrica', ' bankkártya elfogadás', ' kenőolaj', ' kávé', ' shop', ' mobiltelefon egyenlegfeltöltés', ' autókozmetika', '']","['Hétfő:0-24 óráig', '\t\t\tKedd:0-24 óráig', '\t\t\tSzerda:0-24 óráig', '\t\t\tCsütörtök:0-24 óráig', '\t\t\tPéntek:0-24 óráig', '\t\t\tSzombat:0-24 óráig', '\t\t\tVasárnap:0-24 óráig']","{'Gázolaj': '691.0,- Ft', '95-ös Benzin E10': '635.0,- Ft', 'Gázolaj - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft', '95-Ös Benzin E10 - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft'}"
https://holtankoljak.net/avia_budapest_iirakocziferencu195-197,"Budapest XXI, II. Rákóczi Ferenc u. 195-197.","47.41178894,19.05603027","['autópálya-matrica', ' bankkártya elfogadás', ' WC', ' PB-gáz', ' mobiltelefon egyenlegfeltöltés', ' kenőolaj', ' büfé', ' nagynyomású kútoszlop', ' HU-GO feltöltés', ' Eurowag-kártya', ' shop', ' keréknyomás mérő', ' kávé', ' ATM-automata', '']","['Hétfő:06:00 - 20:00', '\t\t\tKedd:06:00 - 20:00', '\t\t\tSzerda:06:00 - 20:00', '\t\t\tCsütörtök:06:00 - 20:00', '\t\t\tPéntek:06:00 - 20:00', '\t\t\tSzombat:06:00 - 20:00', '\t\t\tVasárnap:06:00 - 20:00']","{'95-ös Benzin E10': 'Nem ismert', 'Prémium Gázolaj': 'Nem ismert', 'Gázolaj': 'Nem ismert', 'Gázolaj - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '479.9,- Ft', '95-Ös Benzin E10 - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '479.9,- Ft'}"
https://holtankoljak.net/mol_jaszbereny_nagykataiut,"Jászberény, Nagykátai út","47.48664474,19.88292694","['autópálya-matrica', ' kávé', ' kézi autómosó', ' PB-gáz', ' shop', ' gépi autómosó', ' bankkártya elfogadás', ' UTA-kártya', ' DKV-kártya', ' kenőolaj', ' keréknyomás mérő', ' porszívó', '']","['Hétfő:06:00 - 22:00', '\t\t\tKedd:06:00 - 22:00', '\t\t\tSzerda:06:00 - 22:00', '\t\t\tCsütörtök:06:00 - 22:00', '\t\t\tPéntek:06:00 - 22:00', '\t\t\tSzombat:06:00 - 22:00', '\t\t\tVasárnap:06:00 - 22:00']","{'100-As Benzin E5': '702.0,- Ft', 'Lpg': '380.0,- Ft', 'Gázolaj': '726.0,- Ft', '95-ös Benzin E10': '665.0,- Ft', 'Prémium Gázolaj': '781.0,- Ft', 'Gázolaj - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft', '95-Ös Benzin E10 - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft'}"
https://holtankoljak.net/mol_gardony_szabadsagu9,"Gárdony, Szabadság u.  9","47.20414734,18.62281227","['Gyógyszer', ' Wifi', ' nagynyomású kútoszlop', ' kenőolaj', ' UTA-kártya', ' AdBlue kannás', ' kávé', ' bankkártya elfogadás', ' WC', ' pékség', ' hűségkártya', ' mobiltelefon egyenlegfeltöltés', ' PB-gáz', ' autópálya-matrica', ' gépi autómosó', ' shop', '']","['Hétfő:06:00 - 22:00', '\t\t\tKedd:06:00 - 22:00', '\t\t\tSzerda:06:00 - 22:00', '\t\t\tCsütörtök:06:00 - 22:00', '\t\t\tPéntek:06:00 - 22:00', '\t\t\tSzombat:06:00 - 22:00', '\t\t\tVasárnap:06:00 - 22:00']","{'Prémium Gázolaj': '781.0,- Ft', '100-As Benzin E5': '702.0,- Ft', 'Gázolaj': '726.0,- Ft', '95-ös Benzin E10': '665.0,- Ft', 'Gázolaj - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft', '95-Ös Benzin E10 - Hatósági ÁrasÉrvényes Magyar forgalmi engedéllyel': '480.0,- Ft'}"
