iter	Passed	Remaining
0	28	57110
1	56	56477
2	85	56691
3	113	56766
4	145	57895
5	176	58584
6	204	58307
7	235	58763
8	265	58650
9	291	57910
10	317	57446
11	352	58337
12	384	58810
13	416	59023
14	449	59535
15	488	60536
16	522	60902
17	553	60932
18	586	61165
19	616	61026
20	648	61118
21	676	60795
22	710	61066
23	740	60995
24	777	61420
25	809	61460
26	842	61558
27	875	61694
28	909	61804
29	941	61817
30	971	61691
31	1004	61780
32	1040	62000
33	1078	62333
34	1107	62159
35	1140	62242
36	1174	62295
37	1203	62147
38	1237	62237
39	1274	62427
40	1307	62454
41	1337	62356
42	1372	62456
43	1396	62067
44	1430	62153
45	1459	61984
46	1488	61837
47	1519	61795
48	1548	61647
49	1577	61523
50	1605	61349
51	1628	61005
52	1658	60915
53	1692	60998
54	1727	61078
55	1759	61078
56	1789	61001
57	1812	60690
58	1837	60448
59	1864	60295
60	1902	60488
61	1938	60589
62	1968	60530
63	2003	60592
64	2030	60432
65	2050	60097
66	2071	59772
67	2106	59855
68	2136	59778
69	2170	59833
70	2197	59714
71	2216	59362
72	2235	59023
73	2257	58749
74	2287	58707
75	2308	58429
76	2338	58410
77	2363	58233
78	2389	58096
79	2419	58070
80	2449	58024
81	2478	57972
82	2511	58001
83	2536	57861
84	2563	57757
85	2582	57471
86	2609	57388
87	2626	57074
88	2656	57043
89	2686	57020
90	2716	56985
91	2747	56975
92	2777	56954
93	2796	56706
94	2821	56586
95	2851	56544
96	2873	56373
97	2902	56327
98	2918	56042
99	2939	55841
100	2953	55537
101	2975	55372
102	3000	55258
103	3020	55061
104	3045	54971
105	3073	54916
106	3101	54867
107	3130	54842
108	3148	54629
109	3175	54559
110	3191	54315
111	3213	54175
112	3241	54135
113	3267	54058
114	3295	54015
115	3312	53800
116	3336	53697
117	3357	53547
118	3373	53320
119	3397	53230
120	3426	53203
121	3452	53140
122	3483	53155
123	3506	53045
124	3539	53092
125	3561	52965
126	3586	52896
127	3610	52803
128	3630	52649
129	3658	52624
130	3682	52537
131	3709	52498
132	3743	52552
133	3760	52373
134	3786	52309
135	3816	52306
136	3833	52127
137	3858	52056
138	3883	51997
139	3901	51827
140	3925	51751
141	3956	51773
142	3972	51584
143	3990	51437
144	4021	51444
145	4039	51290
146	4060	51186
147	4077	51021
148	4102	50966
149	4129	50934
150	4153	50856
151	4184	50876
152	4213	50859
153	4235	50769
154	4248	50566
155	4262	50382
156	4289	50350
157	4308	50227
158	4331	50148
159	4356	50102
160	4379	50021
161	4397	49896
162	4423	49849
163	4440	49711
164	4464	49651
165	4490	49609
166	4510	49512
167	4531	49418
168	4544	49238
169	4570	49199
170	4589	49086
171	4608	48979
172	4632	48925
173	4657	48874
174	4678	48785
175	4696	48675
176	4710	48517
177	4737	48491
178	4757	48402
179	4784	48379
180	4803	48274
181	4816	48116
182	4833	47994
183	4858	47956
184	4873	47815
185	4897	47760
186	4917	47677
187	4934	47557
188	4950	47435
189	4970	47353
190	4988	47243
191	5021	47285
192	5040	47190
193	5056	47074
194	5081	47037
195	5101	46955
196	5126	46916
197	5151	46882
198	5174	46832
199	5194	46752
200	5213	46661
201	5228	46540
202	5247	46451
203	5273	46426
204	5291	46332
205	5312	46265
206	5335	46216
207	5352	46114
208	5369	46012
209	5393	45975
210	5412	45887
211	5429	45793
212	5448	45712
213	5470	45659
214	5489	45573
215	5508	45495
216	5522	45376
217	5542	45305
218	5566	45269
219	5588	45215
220	5605	45119
221	5626	45061
222	5644	44975
223	5659	44873
224	5674	44763
225	5689	44662
226	5713	44627
227	5731	44548
228	5755	44514
229	5776	44457
230	5798	44401
231	5819	44350
232	5839	44283
233	5859	44220
234	5875	44125
235	5890	44029
236	5907	43941
237	5927	43886
238	5947	43819
239	5960	43713
240	5979	43641
241	6008	43645
242	6026	43572
243	6041	43477
244	6059	43406
245	6076	43325
246	6089	43218
247	6114	43193
248	6139	43170
249	6164	43149
250	6191	43140
251	6209	43070
252	6228	43009
253	6240	42897
254	6256	42811
255	6281	42794
256	6302	42746
257	6326	42716
258	6341	42628
259	6359	42557
260	6377	42490
261	6393	42413
262	6414	42363
263	6430	42284
264	6450	42230
265	6469	42173
266	6488	42116
267	6513	42093
268	6532	42034
269	6556	42009
270	6573	41940
271	6589	41865
272	6603	41776
273	6624	41729
274	6648	41703
275	6671	41673
276	6694	41642
277	6713	41586
278	6732	41532
279	6749	41462
280	6764	41380
281	6785	41336
282	6797	41240
