iter	AUC	Logloss
0	0.5	0.685691919
1	0.8067560175	0.6785906486
2	0.8070295405	0.6714963795
3	0.8949671772	0.6643012598
4	0.9005060175	0.6576849701
5	0.9072757112	0.6510142668
6	0.9066602845	0.6441176597
7	0.910387035	0.6377929679
8	0.9041643873	0.6315614834
9	0.9089852298	0.6251733258
10	0.8994119256	0.6191906092
11	0.913327407	0.6128806828
12	0.9142847374	0.6066204798
13	0.9127461707	0.6006750754
14	0.9117204595	0.5947686528
15	0.9134299781	0.5890128293
16	0.9211570022	0.5833981984
17	0.9281318381	0.5777217342
18	0.9268326039	0.5721962488
19	0.9309354486	0.5665616726
20	0.9342177243	0.5609437035
21	0.9334655361	0.5560677038
22	0.9352434354	0.5510539242
23	0.9336706783	0.5462643907
24	0.934833151	0.5414872901
25	0.9362007659	0.5367071258
26	0.9359272429	0.5320961166
27	0.9358588621	0.5270485653
28	0.9358588621	0.5224471985
29	0.9382521882	0.5176124237
30	0.9385257112	0.5134260999
31	0.9422182713	0.5090278805
32	0.9443380744	0.5047166429
33	0.9441329322	0.50043675
34	0.9439961707	0.496446039
35	0.9448851204	0.4923354247
36	0.9452954048	0.4882684271
37	0.949261488	0.4843976961
38	0.9509026258	0.4806764224
39	0.9502188184	0.4770086671
40	0.9505607221	0.4727490522
41	0.9511761488	0.4688898387
42	0.9528856674	0.4652078499
43	0.9526805252	0.4617393477
44	0.9518599562	0.4582566568
45	0.95220186	0.4544576503
46	0.9517231947	0.4507715195
47	0.9524753829	0.447145447
48	0.9541165208	0.4435081526
49	0.9565098468	0.4398259649
