iter	Passed	Remaining
0	3	484
1	6	477
2	9	441
3	11	425
4	14	429
5	17	426
6	20	420
7	23	409
8	26	408
9	28	402
10	31	395
11	34	392
12	36	387
13	39	380
14	42	378
15	44	376
16	48	375
17	50	373
18	53	368
19	56	366
20	58	361
21	61	358
22	64	354
23	67	356
24	70	352
25	73	348
26	75	345
27	78	341
28	80	337
29	83	335
30	86	333
31	89	329
32	91	325
33	94	323
34	97	319
35	99	315
36	102	313
37	105	310
38	107	305
39	109	302
40	112	298
41	114	295
42	117	293
43	121	291
44	124	290
45	127	288
46	130	287
47	133	284
48	137	282
49	140	280
50	143	279
51	146	275
52	149	273
53	152	270
54	155	267
55	157	264
56	159	260
57	162	257
58	164	254
59	167	251
60	170	249
61	173	246
62	176	243
63	179	240
64	181	237
65	184	234
66	187	231
67	189	229
68	192	226
69	195	223
70	197	220
71	200	217
72	202	213
73	205	210
74	207	207
75	211	206
76	215	203
77	217	201
78	220	198
79	223	195
80	225	192
81	229	189
82	231	187
83	234	184
84	236	181
85	239	178
86	242	175
87	245	173
88	248	170
89	250	166
90	253	164
91	256	161
92	259	158
93	261	156
94	264	153
95	266	150
96	269	147
97	272	144
98	275	142
99	278	139
100	280	136
101	283	133
102	286	130
103	289	127
104	291	125
105	294	122
106	296	119
107	299	116
108	301	113
109	304	110
110	307	107
111	309	105
112	313	102
113	315	99
114	318	96
115	321	94
116	323	91
117	326	88
118	329	85
119	331	82
120	334	80
121	336	77
122	339	74
123	342	71
124	344	68
125	347	66
126	350	63
127	352	60
128	355	57
129	357	55
130	360	52
131	363	49
132	366	46
133	368	44
134	371	41
135	373	38
136	376	35
137	378	32
138	382	30
139	385	27
140	387	24
141	390	21
142	393	19
143	395	16
144	398	13
145	401	10
146	404	8
147	407	5
148	410	2
149	412	0
