Síterep,Link,Régió,Parkoló,Hegytető,Sípályák hossza,Szintkülönbség,Liftek száma,Szezon eleje,Szezon vége,Távolság Budapesttől,Felnőtt napijegy ára,Húzólift,Kombilift,Kék,Piros,Fekete,Ülőlift,Nagykabinos lift,Kiskabinos lift,Vonat
Abtenau im Lammertal - Karkogel,https://sielok.hu/siterep/abtenau/,Salzburg,712,1200,9.0,488,5,2022.12.30.,2023.03.26.,533.0,40.0,4,1,4.4,1.6,3.0,0,0,0,0
Achenkirch - Christlum,https://sielok.hu/siterep/achenkirch-christlum/,Tirol,950,1800,27.0,850,10,2022.12.15.,2023.04.10.,709.0,55.0,6,0,6.0,16.0,5.0,4,0,0,0
Aflenz - Bürgeralm,https://sielok.hu/siterep/aflenz/,Stájerország,810,1810,14.0,1000,7,2022.12.10.,2023.03.26.,364.0,37.0,6,0,2.0,10.0,2.0,1,0,0,0
Alberschwende,https://sielok.hu/siterep/alberschwende/,Vorarlberg,720,1200,2.5,480,2,,,863.0,26.0,2,0,1.0,1.5,0.0,0,0,0,0
Altaussee - Loser,https://sielok.hu/siterep/loser/,Stájerország,850,1800,34.0,950,9,2022.12.08.,2023.04.10.,496.0,48.0,5,0,21.0,12.0,1.0,4,0,0,0
Andelsbuch - Baumgartnerhöhe,https://sielok.hu/siterep/andelsbuch-baumgartnerhoehe/,Vorarlberg,655,1715,10.0,1060,8,,,873.0,36.4,5,0,5.0,4.0,1.0,2,1,0,0
Annaberg,https://sielok.hu/siterep/annaberg/,Alsó-Ausztria,896,1300,12.5,404,5,2022.12.16.,2023.03.19.,345.0,A síbérlet ára naponta változikKedvezményes síbérlet,3,0,8.0,2.5,2.0,2,0,0,0
Arabichl - Kirchberg am Wechsel,https://sielok.hu/siterep/kirchbergamwechsel/,Alsó-Ausztria,1350,1593,2.0,243,2,,,306.0,,2,0,2.0,0.0,0.0,0,0,0,0
Arnoldstein - Dreiländereck,https://sielok.hu/siterep/arnoldstein/,Karintia,680,1550,15.1,870,7,2022.12.22.,2023.03.12.,570.0,43.0,6,0,4.7,7.2,3.2,1,0,0,0
Axamer Lizum,https://sielok.hu/siterep/axamerlizum/,Tirol,1560,2340,38.5,780,9,2022.11.26.,2023.04.10.,745.0,49.0,3,0,6.5,23.3,8.7,3,0,2,1
Bad Gastein - Graukogel,https://sielok.hu/siterep/bad-gastein-graukogel/,Salzburg,1079,2007,11.9,928,3,,,583.0,46.0,1,0,3.5,6.4,2.0,2,0,0,0
Bad Hofgastein - Bad Gastein,https://sielok.hu/siterep/bad-hofgastein-bad-gastein/,Salzburg,860,2300,82.7,1440,18,2022.12.02.,2023.04.16.,576.0,68.5,4,0,30.8,49.3,2.6,6,1,7,0
Bad Kleinkirchheim,https://sielok.hu/siterep/badkleinkirchheim/,Karintia,1087,2055,103.0,968,22,2022.12.09.,2023.04.10.,560.0,56.5,10,0,18.0,77.0,8.0,8,0,4,0
Berg im Drautal - Emberger Alm,https://sielok.hu/siterep/emberger-alm-berg-im-drautal/,Karintia,1650,2120,10.0,470,4,2022.12.22.,2023.03.26.,629.0,37.0,4,0,5.0,4.0,1.0,0,0,0,0
Bergeralm,https://sielok.hu/siterep/bergeralm/,Tirol,1048,2180,29.0,1132,7,2022.12.02.,2023.04.10.,748.0,46.8,4,1,10.0,10.0,9.0,1,0,1,0
Bergkastel Nauders,https://sielok.hu/siterep/nauders-am-reschenpass-bergkastel/,Tirol,1400,2750,75.0,1350,10,2022.12.08.,2023.04.14.,837.0,55.0,3,0,25.0,36.0,14.0,6,0,1,0
Berwangertal,https://sielok.hu/siterep/berwang/,Tirol,1067,1743,36.0,676,13,2022.12.17.,2023.04.10.,756.0,55.0,7,1,19.2,15.2,1.6,4,0,1,0
Biberwier - Marienberg,https://sielok.hu/siterep/biberwier-marienberg/,Tirol,1000,1820,11.0,820,5,2022.12.16.,2023.04.02.,750.0,56.0,3,0,7.3,3.7,0.0,2,0,0,0
Birkenlift,https://sielok.hu/siterep/birkenlift/,Tirol,1167,1214,2.2,47,4,2022.12.16.,2023.03.19.,,34.0,4,0,2.2,0.0,0.0,0,0,0,0
Brandlift - Scharnitz,https://sielok.hu/siterep/brandlift-scharnitz/,Tirol,964,1050,1.0,86,1,,,756.0,11.0,1,0,1.0,0.0,0.0,0,0,0,0
Brandnertal,https://sielok.hu/siterep/brandnertal/,Vorarlberg,904,2000,52.0,1096,14,2022.12.17.,2023.04.10.,868.0,,5,0,23.0,28.0,1.0,6,1,2,0
Bregenz - Pfänder,https://sielok.hu/siterep/bregenz-pfaender/,Vorarlberg,421,1064,3.0,643,4,,,844.0,20.3,3,0,3.0,0.0,0.0,0,1,0,0
Brunnalm - Hohe Veitsch,https://sielok.hu/siterep/brunnalm/,Stájerország,1064,1450,9.0,386,6,,,342.0,36.0,5,0,3.0,4.0,2.0,1,0,0,0
Buchensteinwand - St. Ulrich am Pillersee,https://sielok.hu/siterep/pillersee/,Tirol,855,1456,21.2,601,9,2022.12.17.,2023.03.26.,608.0,42.0,7,0,8.0,10.2,3.0,2,0,0,0
Dachstein gleccser,https://sielok.hu/siterep/dachstein/,Stájerország,2264,2700,5.0,436,5,,,508.0,,3,0,0.0,4.0,1.0,1,1,0,0
Dachstein West,https://sielok.hu/siterep/dachstein_west/,Salzburg,745,1617,51.0,872,22,2022.12.03.,2023.04.02.,523.0,57.0,11,0,15.0,33.0,3.0,8,0,3,0
Damüls - Mellau,https://sielok.hu/siterep/damuls/,Vorarlberg,710,2050,80.6,1340,20,2022.12.08.,2023.04.16.,890.0,61.0,5,0,29.9,48.8,1.9,13,0,2,0
Diedamskopf,https://sielok.hu/siterep/diedamskopf/,Vorarlberg,820,2060,40.0,1240,9,2022.12.17.,2023.04.09.,896.0,55.0,5,0,13.0,18.0,9.0,2,0,2,0
Dürrnberg - Hallein / Zinken,https://sielok.hu/siterep/durrnberg/,Salzburg,837,1330,8.0,493,4,,,573.0,32.0,3,0,2.0,5.5,0.5,1,0,0,0
Eben - Monte Popolo,https://sielok.hu/siterep/eben/,Salzburg,875,1601,6.0,726,4,2022.12.23.,2023.03.26.,519.0,47.5,2,0,4.0,2.0,0.0,2,0,0,0
Eberstein - Saualpe,https://sielok.hu/siterep/eberstein-saualpe/,Karintia,1650,1780,0.9,130,1,2022.12.23.,2023.03.12.,514.0,24.0,1,0,0.9,0.0,0.0,0,0,0,0
Ehrwald,https://sielok.hu/siterep/ehrwald/,Tirol,1112,1923,27.5,811,7,2022.12.16.,2023.04.16.,748.0,56.0,3,0,18.1,7.4,2.0,3,0,1,0
Ehrwald - Wettersteinbahnen,https://sielok.hu/siterep/ehrwald-wettersteinbahnen/,Tirol,1000,1530,23.0,530,6,2022.12.22.,2023.03.26.,746.0,56.0,4,0,15.0,5.0,3.0,2,0,0,0
Elbigenalp - Knittellifte,https://sielok.hu/siterep/elbigenalp-knittellifte/,Tirol,1040,1140,2.0,100,3,,,792.0,,3,0,1.5,0.5,0.0,0,0,0,0
Embach - Hörndl,https://sielok.hu/siterep/embach-hoerndl/,Salzburg,1012,1296,3.0,284,2,2022.12.22.,2023.03.12.,567.0,30.0,2,0,2.0,1.0,0.0,0,0,0,0
Fageralm,https://sielok.hu/siterep/fageralm/,Stájerország,930,1885,15.0,955,7,2022.12.23.,2023.04.10.,506.0,59.0,5,0,7.0,8.0,0.0,2,0,0,0
Falkert - Heidi Alm Skipark,https://sielok.hu/siterep/falkert/,Karintia,1840,2107,11.0,267,3,2022.12.17.,2023.04.16.,563.0,32.0,3,0,3.0,8.0,0.0,0,0,0,0
Fanningberg,https://sielok.hu/siterep/fanningberg/,Salzburg,1497,2115,24.0,618,5,2022.12.08.,2023.04.10.,502.0,50.0,3,0,11.1,5.8,7.1,2,0,0,0
Faschina (Fontanella),https://sielok.hu/siterep/faschina/,Vorarlberg,1450,1980,6.8,530,7,2022.12.17.,2023.04.10.,887.0,42.5,5,0,5.5,1.3,0.0,2,0,0,0
Feistritzsattel,https://sielok.hu/siterep/feistritzsattel/,Alsó-Ausztria,1100,1300,1.7,200,2,,,305.0,,2,0,0.0,1.7,0.0,0,0,0,0
Fendels,https://sielok.hu/siterep/fendels/,Tirol,1325,2271,8.5,946,6,2022.12.17.,2023.04.10.,808.0,42.0,4,0,3.8,3.6,1.1,1,0,1,0
Feuerkogel - Ebensee,https://sielok.hu/siterep/feuerkogel/,Felső-Ausztria,443,1648,10.6,1205,8,2022.12.17.,2023.04.10.,501.0,45.7,5,0,6.5,3.1,1.0,1,1,1,0
Filzmoos,https://sielok.hu/siterep/filzmoos/,Salzburg,970,1591,20.0,621,8,2022.12.17.,2023.04.09.,514.0,59.5,5,0,9.0,10.0,1.0,2,0,1,0
Flachau Wagrain St. Johann - Snow Space Salzburg,https://sielok.hu/siterep/flachau-wagrain-alpendorf/,Salzburg,740,1980,120.1,1240,45,2022.12.03.,2023.04.15.,532.0,68.0,17,0,34.0,82.1,4.0,16,2,10,0
Flattnitz,https://sielok.hu/siterep/flattnitz/,Karintia,1400,1840,12.0,440,4,2022.12.08.,2023.03.12.,492.0,36.5,3,0,7.0,2.0,3.0,1,0,0,0
Forsteralm,https://sielok.hu/siterep/forsteralm/,Felső-Ausztria,720,1078,2.8,358,3,2022.12.16.,2023.03.12.,410.0,24.0,3,0,2.8,0.0,0.0,0,0,0,0
Furx,https://sielok.hu/siterep/furx/,Vorarlberg,900,1200,2.5,300,4,,,881.0,20.0,4,0,2.0,0.5,0.0,0,0,0,0
Fügen - Spieljoch,https://sielok.hu/siterep/fuegen/,Tirol,610,2054,17.1,1444,11,2022.12.17.,2023.04.10.,697.0,65.5,6,0,3.6,10.8,2.7,2,0,3,0
