Síterep,Link,Régió,Parkoló,Hegytető,Sípályák hossza,Szintkülönbség,Liftek száma,Szezon eleje,Szezon vége,Távolság Budapesttől,Felnőtt napijegy ára,Húzólift,Kombilift,Kék,Piros,Fekete,Ülőlift,Kiskabinos lift,Nagykabinos lift,Vonat
Abtenau im Lammertal - Karkogel,https://sielok.hu/siterep/abtenau/,Salzburg,712,1200,9.0,488.0,5,2021.12.23.,2022.03.27.,533.0,37.5,4,1,4.4,1.6,3.0,0,0,0,0
Achenkirch - Christlum,https://sielok.hu/siterep/achenkirch-christlum/,Tirol,945,1800,27.0,855.0,11,2021.12.04.,2022.04.10.,709.0,50.0,7,0,6.0,16.0,5.0,4,0,0,0
Aflenz - Bürgeralm,https://sielok.hu/siterep/aflenz/,Stájerország,810,1810,14.0,1000.0,7,2021.12.10.,2022.03.27.,364.0,34.0,6,0,2.0,10.0,2.0,1,0,0,0
Alberschwende,https://sielok.hu/siterep/alberschwende/,Vorarlberg,720,1200,2.5,480.0,2,2021.12.10.,2022.02.27.,863.0,23.0,2,0,1.0,1.5,0.0,0,0,0,0
Altaussee - Loser,https://sielok.hu/siterep/loser/,Stájerország,850,1800,34.0,950.0,8,2021.12.08.,2022.04.18.,496.0,45.0,4,0,21.0,12.0,1.0,4,0,0,0
Altenmarkt - Radstadt,https://sielok.hu/siterep/altenmarkt/,Salzburg,850,1571,17.3,721.0,7,2021.12.18.,2022.04.03.,515.0,61.0,2,0,9.2,7.5,0.6,2,3,0,0
Andelsbuch - Baumgartnerhöhe,https://sielok.hu/siterep/andelsbuch-baumgartnerhoehe/,Vorarlberg,655,1715,10.0,1060.0,8,2021.12.23.,2022.03.13.,873.0,34.6,5,0,5.0,4.0,1.0,2,0,1,0
Annaberg,https://sielok.hu/siterep/annaberg/,Alsó-Ausztria,896,1300,12.5,404.0,5,2021.12.10.,2022.03.20.,345.0,39.5,3,0,8.0,2.5,2.0,2,0,0,0
Arnoldstein - Dreiländereck,https://sielok.hu/siterep/arnoldstein/,Karintia,680,1600,15.1,920.0,7,2021.12.17.,2022.03.20.,530.0,38.5,6,0,4.7,8.1,2.3,1,0,0,0
Axamer Lizum,https://sielok.hu/siterep/axamerlizum/,Tirol,1580,2340,30.0,760.0,10,2021.12.03.,2022.04.18.,745.0,44.5,3,0,7.0,21.0,2.0,6,0,0,1
Bad Kleinkirchheim,https://sielok.hu/siterep/badkleinkirchheim/,Karintia,1087,2055,103.0,968.0,22,2021.12.08.,2022.04.03.,520.0,52.5,10,0,18.0,77.0,8.0,8,4,0,0
Berg im Drautal - Emberger Alm,https://sielok.hu/siterep/emberger-alm-berg-im-drautal/,Karintia,1650,2120,10.0,470.0,4,2021.12.18.,2022.03.27.,589.0,34.0,4,0,5.0,4.0,1.0,0,0,0,0
Bergeralm,https://sielok.hu/siterep/bergeralm/,Tirol,1048,2180,29.0,1132.0,5,2021.11.27.,2022.04.18.,748.0,43.7,2,1,10.0,10.0,9.0,1,1,0,0
Bergkastel Nauders,https://sielok.hu/siterep/nauders-am-reschenpass-bergkastel/,Tirol,1400,2740,67.0,1340.0,11,2021.12.15.,2022.04.18.,836.0,49.0,4,0,23.0,33.0,11.0,6,1,0,0
Berwangertal,https://sielok.hu/siterep/berwang/,Tirol,1067,1743,36.0,676.0,13,2021.12.18.,2022.03.27.,756.0,51.0,7,1,19.2,15.2,1.6,4,1,0,0
Biberwier - Marienberg,https://sielok.hu/siterep/biberwier-marienberg/,Tirol,1000,1820,11.0,820.0,5,2021.12.17.,2022.04.03.,750.0,52.0,3,0,7.3,3.7,0.0,2,0,0,0
Brandlift - Scharnitz,https://sielok.hu/siterep/brandlift-scharnitz/,Tirol,964,1050,1.0,86.0,1,,,756.0,11.0,1,0,1.0,0.0,0.0,0,0,0,0
Brandnertal,https://sielok.hu/siterep/brandnertal/,Vorarlberg,904,2000,52.0,1096.0,14,2021.12.18.,2022.03.27.,868.0,53.0,5,0,23.0,28.0,1.0,6,2,1,0
Bregenz - Pfänder,https://sielok.hu/siterep/bregenz-pfaender/,Vorarlberg,421,1064,3.0,643.0,4,,,844.0,20.3,3,0,3.0,0.0,0.0,0,0,1,0
Brunnalm - Hohe Veitsch,https://sielok.hu/siterep/brunnalm/,Stájerország,1064,1450,9.0,386.0,6,,,342.0,36.0,5,0,3.0,4.0,2.0,1,0,0,0
Buchensteinwand - St. Ulrich am Pillersee,https://sielok.hu/siterep/pillersee/,Tirol,855,1456,21.2,601.0,9,2021.12.18.,2022.04.03.,608.0,40.0,7,0,8.0,10.2,3.0,2,0,0,0
Dachstein gleccser,https://sielok.hu/siterep/dachstein/,Stájerország,2264,2700,5.0,436.0,5,2021.12.25.,2022.01.09.,508.0,50.5,3,0,4.0,1.0,0.0,1,0,1,0
Dachstein West,https://sielok.hu/siterep/dachstein_west/,Salzburg,745,1617,51.0,872.0,22,2021.12.04.,2022.04.03.,523.0,50.0,11,0,15.0,33.0,3.0,8,3,0,0
Damüls - Mellau,https://sielok.hu/siterep/damuls/,Vorarlberg,710,2050,80.6,1340.0,20,2021.12.04.,2022.04.18.,889.0,55.5,5,0,29.9,48.8,1.9,13,2,0,0
Diedamskopf,https://sielok.hu/siterep/diedamskopf/,Vorarlberg,820,2060,40.0,1240.0,9,2021.12.11.,2022.04.03.,896.0,49.5,5,0,13.0,18.0,9.0,2,2,0,0
Dürrnberg - Hallein / Zinken,https://sielok.hu/siterep/durrnberg/,Salzburg,837,1330,8.0,493.0,4,2021.12.18.,2022.03.20.,570.0,29.0,3,0,2.0,5.5,0.5,1,0,0,0
Eben - Monte Popolo,https://sielok.hu/siterep/eben/,Salzburg,862,1612,6.0,750.0,4,2021.12.16.,2022.03.27.,519.0,42.5,2,0,4.0,2.0,0.0,2,0,0,0
Ehrwald,https://sielok.hu/siterep/ehrwald/,Tirol,1112,1923,27.5,811.0,7,2021.12.17.,2022.04.18.,748.0,52.0,3,0,18.1,7.4,2.0,3,1,0,0
Ehrwald - Wettersteinbahnen,https://sielok.hu/siterep/ehrwald-wettersteinbahnen/,Tirol,1000,1530,23.0,530.0,4,2021.12.18.,2022.03.27.,746.0,52.0,2,0,15.0,5.0,3.0,2,0,0,0
Embach - Hörndl,https://sielok.hu/siterep/embach-hoerndl/,Salzburg,1012,1296,3.0,284.0,2,2021.12.17.,2022.03.13.,628.0,25.0,2,0,2.0,1.0,0.0,0,0,0,0
Fageralm,https://sielok.hu/siterep/fageralm/,Stájerország,930,1885,15.0,955.0,7,2021.12.18.,2022.04.03.,506.0,54.0,5,0,7.0,8.0,0.0,2,0,0,0
Falkert - Heidi Alm Skipark,https://sielok.hu/siterep/falkert/,Karintia,1840,2107,11.0,267.0,3,2021.12.18.,2022.03.27.,523.0,29.5,3,0,3.0,8.0,0.0,0,0,0,0
Fanningberg,https://sielok.hu/siterep/fanningberg/,Salzburg,1497,2115,24.0,618.0,5,2021.12.16.,2022.04.18.,501.0,47.0,3,0,11.1,5.8,7.1,2,0,0,0
Faschina (Fontanella),https://sielok.hu/siterep/faschina/,Vorarlberg,1450,1980,6.8,530.0,7,2021.12.11.,2022.04.18.,887.0,42.5,5,0,5.5,1.3,0.0,2,0,0,0
Fendels,https://sielok.hu/siterep/fendels/,Tirol,1325,2271,10.6,946.0,6,2021.12.18.,2022.04.18.,808.0,41.0,4,0,6.1,3.5,1.0,1,1,0,0
Feuerkogel - Ebensee,https://sielok.hu/siterep/feuerkogel/,Felső-Ausztria,443,1625,10.6,1182.0,8,2021.12.17.,2022.04.03.,501.0,42.3,5,0,6.5,3.1,1.0,1,1,1,0
Filzmoos,https://sielok.hu/siterep/filzmoos/,Salzburg,970,1591,20.0,621.0,8,2021.12.17.,2022.04.18.,514.0,52.0,5,0,9.0,10.0,1.0,2,1,0,0
Flachau Wagrain St. Johann - Snow Space Salzburg,https://sielok.hu/siterep/flachau-wagrain-alpendorf/,Salzburg,740,1980,120.1,1240.0,45,2021.12.16.,2022.04.18.,532.0,61.0,17,0,34.0,82.1,4.0,16,10,2,0
Flattnitz,https://sielok.hu/siterep/flattnitz/,Karintia,1400,1840,12.0,440.0,4,2021.12.11.,2022.03.13.,492.0,33.0,3,0,7.0,2.0,3.0,1,0,0,0
Forsteralm,https://sielok.hu/siterep/forsteralm/,Felső-Ausztria,720,1078,16.0,358.0,4,2021.12.15.,2022.03.13.,410.0,27.0,3,0,10.0,4.0,2.0,1,0,0,0
Furx,https://sielok.hu/siterep/furx/,Vorarlberg,900,1200,2.5,300.0,4,2021.12.11.,2022.03.13.,881.0,20.0,4,0,2.0,0.5,0.0,0,0,0,0
Fügen - Spieljoch,https://sielok.hu/siterep/fuegen/,Tirol,610,2054,17.1,1444.0,10,2021.12.17.,2022.04.03.,698.0,61.0,5,0,3.6,10.8,2.7,2,3,0,0
Gaaler Lifte,https://sielok.hu/siterep/gaal/,Stájerország,860,1230,8.0,370.0,3,2021.12.04.,2022.03.13.,410.0,36.0,2,0,3.5,4.0,0.5,1,0,0,0
Gaberl - Plankogel,https://sielok.hu/siterep/gaberl/,Stájerország,1303,1551,6.9,248.0,3,,,401.0,29.0,3,0,3.8,2.7,0.4,0,0,0,0
Gaissau - Hintersee,https://sielok.hu/siterep/gaissau/,Salzburg,750,1567,30.0,817.0,8,2021.12.17.,2022.03.20.,552.0,42.0,5,0,20.0,9.0,1.0,3,0,0,0
Galsterbergalm,https://sielok.hu/siterep/galsterbergalm/,Stájerország,1000,1984,12.0,984.0,4,2021.12.17.,2022.03.27.,485.0,53.5,2,0,4.0,7.0,1.0,1,1,0,0
Galtür - Silvapark,https://sielok.hu/siterep/galtur/,Tirol,1600,2300,43.0,700.0,10,2021.12.13.,2022.04.22.,838.0,44.5,6,0,6.0,25.0,12.0,2,2,0,0
Gargellen,https://sielok.hu/siterep/gargellen/,Vorarlberg,1423,2300,28.1,877.0,8,2021.12.11.,2022.04.18.,882.0,53.0,4,0,20.8,5.3,2.0,3,1,0,0
Gemeindealpe - Mitterbach,https://sielok.hu/siterep/gemeindealpe/,Alsó-Ausztria,800,1626,15.5,826.0,4,2021.12.11.,2022.03.20.,371.0,39.5,2,0,7.0,7.0,1.5,2,0,0,0
Gerlitzen Alpe,https://sielok.hu/siterep/gerlitzen/,Karintia,1000,1911,45.1,911.0,20,2021.12.03.,2022.04.03.,511.0,52.0,12,0,9.1,30.0,6.0,7,1,0,0
Gitschtal - Weißbriach,https://sielok.hu/siterep/weissbriach/,Karintia,820,1150,4.0,330.0,3,2021.12.19.,2022.03.06.,564.0,31.0,3,0,1.0,3.0,0.0,0,0,0,0
Glungezer,https://sielok.hu/siterep/glungezer/,Tirol,950,2304,23.0,1354.0,6,2021.12.08.,2022.04.10.,722.0,38.0,3,1,6.5,15.5,1.0,1,1,0,0
Goldeck,https://sielok.hu/siterep/goldeck/,Karintia,547,2142,25.0,1595.0,5,2021.12.17.,2022.04.03.,547.0,44.0,2,0,8.0,8.5,8.5,2,1,0,0
Goldegg,https://sielok.hu/siterep/goldegg/,Salzburg,832,1225,5.0,393.0,3,2021.12.25.,2022.03.13.,553.0,40.0,3,0,4.0,1.0,0.0,0,0,0,0
Golm,https://sielok.hu/siterep/golm/,Vorarlberg,650,2100,26.7,1450.0,9,2021.12.11.,2022.04.18.,863.0,53.5,2,0,13.3,11.9,1.5,4,3,0,0
Golzentipp - Obertilliach,https://sielok.hu/siterep/obertilliach/,Tirol,1430,2248,12.2,818.0,5,2021.12.17.,2022.04.18.,619.0,38.0,4,0,3.4,7.8,1.0,0,1,0,0
Grebenzen - St. Lambrecht,https://sielok.hu/siterep/grebenzen/,Stájerország,1010,1870,12.2,860.0,8,2021.12.04.,2022.03.13.,450.0,39.0,7,0,2.9,9.0,0.3,1,0,0,0
Grossarltal - Dorfgastein,https://sielok.hu/siterep/grossarltal/,Salzburg,849,2033,63.2,1184.0,17,2021.12.17.,2022.04.22.,562.0,61.0,4,0,27.8,34.0,1.4,8,5,0,0
Grosseck - Speiereck,https://sielok.hu/siterep/grosseck/,Salzburg,1095,2400,50.0,1305.0,10,2021.12.11.,2022.04.18.,501.0,47.0,4,0,26.0,17.0,7.0,4,2,0,0
Grossglockner  Kals - Matrei,https://sielok.hu/siterep/grossglockner/,Tirol,1020,2422,44.6,1402.0,14,2021.12.18.,2022.04.18.,641.0,52.0,5,0,9.5,24.5,10.6,6,3,0,0
Grän - Füssener Jöchle,https://sielok.hu/siterep/gran/,Tirol,1150,1821,9.0,671.0,5,2021.12.17.,2022.04.18.,832.0,42.0,3,0,3.0,5.5,0.5,1,1,0,0
Hahnenkamm - Höfen - Reutte,https://sielok.hu/siterep/hahnenkamm-hofen/,Tirol,854,1900,16.0,1046.0,4,2021.12.17.,2022.04.10.,761.0,41.0,2,0,5.0,9.0,2.0,1,1,0,0
Harmanschlag - Arralifte,https://sielok.hu/siterep/harmanschlag-arralifte/,Alsó-Ausztria,740,860,4.0,120.0,2,,,403.0,24.0,2,0,2.0,2.0,0.0,0,0,0,0
Hauereck - St. Kathrein am Hauenstein,https://sielok.hu/siterep/stkathrein/,Stájerország,1000,1305,5.0,305.0,4,2021.12.18.,2022.03.20.,336.0,32.0,3,0,2.0,2.0,1.0,1,0,0,0
Heiligenblut am Grossglockner,https://sielok.hu/siterep/heiligenblut/,Karintia,1301,2989,55.0,1688.0,12,2021.12.18.,2022.04.03.,628.0,48.0,7,0,20.0,34.0,1.0,1,3,1,0
